"Mineral Name","Mineral Name (plain)","IMA Chemistry (concise)","Valence Elements"
"Andyrobertsite","Andyrobertsite","KCdCu_5_(AsO_4_)_4_[As(OH)_2_O_2_]·2H_2_O","K Cd^2+ Cu^2+ As^5+ O H"
"Angarfite","Angarfite","NaFe^3+^_5_(PO_4_)_4_(OH)_4_·4H_2_O","Na Fe^3+ P O H"
"Angastonite","Angastonite","CaMgAl_2_(PO_4_)_2_(OH)_4_·7H_2_O","Ca Mg Al P O H"
"Ángelaite","Angelaite","Cu_2_AgPbBiS_4_","Cu^1+ Ag^1+ Pb^2+ Bi^3+ S^2-"
"Angelellite","Angelellite","Fe^3+^_4_O_3_(AsO_4_)_2_","Fe^3+ O As^5+"
"Anglesite","Anglesite","Pb(SO_4_)","Pb^2+ S^6+ O"
"Anhydrite","Anhydrite","Ca(SO_4_)","Ca S^6+ O"
"Anhydrokainite","Anhydrokainite","KMg(SO_4_)Cl","K Mg S^6+ O Cl"
"Anilite","Anilite","Cu_7_S_4_","Cu S"
"Ankerite","Ankerite","Ca(Fe^2+^,Mg)(CO_3_)_2_","Ca Fe^2+ C O"
"Ankinovichite","Ankinovichite","NiAl_4_(V^5+^O_3_)_2_(OH)_12_·2H_2_O","Ni^2+ Al V^5+ O H"
"Annabergite","Annabergite","Ni_3_(AsO_4_)_2_·8H_2_O","Ni^2+ As^5+ O H"
"Annite","Annite","KFe^2+^_3_(AlSi_3_O_10_)(OH)_2_","K Fe^2+ Al Si O H"
"Anorpiment","Anorpiment","As_2_S_3_","As^3+ S^2-"
"Anorthite","Anorthite","Ca(Al_2_Si_2_O_8_)","Ca Al Si O"
"Anorthominasragrite","Anorthominasragrite","V^4+^O(SO_4_)·5H_2_O","V^4+ O S^6+ H"
"Ansermetite","Ansermetite","Mn^2+^V^5+^_2_O_6_·4H_2_O","Mn^2+ V^5+ O H"
"Antarcticite","Antarcticite","CaCl_2_·6H_2_O","Ca Cl H O"
"Anthoinite","Anthoinite","AlWO_3_(OH)_3_","Al W^6+ O H"
"Anthonyite","Anthonyite","Cu(OH)_2_·3H_2_O","Cu^2+ O H"
"Anthophyllite","Anthophyllite","[box]Mg_2_Mg_5_Si_8_O_22_(OH)_2_","Mg Si O H"
"Antigorite","Antigorite","Mg_3_Si_2_O_5_(OH)_4_","Mg Si O H"
"Antimonselite","Antimonselite","Sb_2_Se_3_","Sb^3+ Se^2-"
"Antimony","Antimony","Sb","Sb"
"Antipinite","Antipinite","KNa_3_Cu_2_(C_2_O_4_)_4_","K Na Cu^2+ C O"
"Antlerite","Antlerite","Cu^2+^_3_(SO_4_)(OH)_4_","Cu^2+ S^6+ O H"
