"Mineral Name","Mineral Name (plain)","IMA Chemistry (concise)","Valence Elements"
"Antofagastaite","Antofagastaite","Na_2_Ca(SO_4_)_2_·1.5H_2_O","Na Ca S^6+ O H"
"Anyuiite","Anyuiite","AuPb_2_","Au Pb"
"Anzaite-(Ce)","Anzaite-(Ce)","Ce_4_Fe^2+^Ti_6_O_18_(OH)_2_","Ce^3+ Fe^2+ Ti^4+ O H"
"Apachite","Apachite","Cu^2+^_9_Si_10_O_29_·11H_2_O","Cu^2+ Si O H"
"Apexite","Apexite","NaMg(PO_4_)·9H_2_O","Na Mg P O H"
"Aphthitalite","Aphthitalite","K_3_Na(SO_4_)_2_","K Na S^6+ O"
"Apjohnite","Apjohnite","Mn^2+^Al_2_(SO_4_)_4_·22H_2_O","Mn^2+ Al S^6+ O H"
"Aplowite","Aplowite","Co(SO_4_)·4H_2_O","Co^2+ S^6+ O H"
"Apuanite","Apuanite","(Fe^2+^Fe^3+^_2_)(Fe^3+^_2_Sb^3+^_4_)O_12_S","Fe^2+ Fe^3+ Sb^3+ O S^2-"
"Aqualite","Aqualite","(H_3_O)_8_(Na,K,Sr)_5_Ca_6_Zr_3_Si_26_O_66_(OH)_9_Cl","H O Na K Sr Ca Zr^4+ Si Cl"
"Aradite","Aradite","BaCa_6_[(SiO_4_)(VO_4_)](VO_4_)_2_F","Ba Ca Si O V^5+ F"
"Aragonite","Aragonite","Ca(CO_3_)","Ca C O"
"Arakiite","Arakiite","ZnMn^2+^_12_Fe^3+^_2_(As^3+^O_3_)(As^5+^O_4_)_2_(OH)_23_","Zn^2+ Mn^2+ Fe^3+ As^3+ O As^5+ H"
"Aramayoite","Aramayoite","Ag_3_Sb_2_(Bi,Sb)S_6_","Ag^1+ Sb^3+ Bi^3+ S^2-"
"Arangasite","Arangasite","Al_2_(SO_4_)(PO_4_)F·9H_2_O","Al S^6+ O P F H"
"Arapovite","Arapovite","(K_1-x_[box]_x_)(Ca,Na)_2_U^4+^Si_8_O_20_ [x ≈ 0.5]","K Ca Na U^4+ Si O"
"Aravaipaite","Aravaipaite","Pb_3_AlF_9_·H_2_O","Pb^2+ Al F H O"
"Aravaite","Aravaite","Ba_2_Ca_18_(SiO_4_)_6_(PO_4_)_3_(CO_3_)F_3_O","Ba Ca Si O P C F"
"Arcanite","Arcanite","K_2_(SO_4_)","K S^6+ O"
"Archerite","Archerite","H_2_K(PO_4_)","H K P O"
"Arctite","Arctite","(Na_5_Ca)Ca_6_Ba(PO_4_)_6_F_3_","Na Ca Ba P O F"
"Arcubisite","Arcubisite","Ag_6_CuBiS_4_","Ag Cu Bi S"
"Ardaite","Ardaite","Pb_17_Sb_15_S_35_Cl_9_","Pb^2+ Sb^3+ S^2- Cl"
"Ardealite","Ardealite","Ca_2_(PO_3_OH)(SO_4_)·4H_2_O","Ca P O H S^6+"
"Ardennite-(As)","Ardennite-(As)","Mn^2+^_4_Al_4_(AlMg)(AsO_4_)(SiO_4_)_2_(Si_3_O_10_)(OH)_6_","Mn^2+ Al Mg As^5+ O Si H"
"Ardennite-(V)","Ardennite-(V)","Mn^2+^_4_Al_4_(AlMg)(VO_4_)(SiO_4_)_2_(Si_3_O_10_)(OH)_6_","Mn^2+ Al Mg Si V^5+ O H"
"Arfvedsonite","Arfvedsonite","NaNa_2_(Fe^2+^_4_Fe^3+^)Si_8_O_22_(OH)_2_","Na Fe^2+ Fe^3+ Si O H"
"Argandite","Argandite","Mn_7_(VO_4_)_2_(OH)_8_","Mn^2+ V^5+ O H"
"Argentobaumhauerite","Argentobaumhauerite","Ag_1.5_Pb_22_As_33.5_S_72_","Ag Pb As S"
"Argentodufrénoysite","Argentodufrenoysite","Ag_3_Pb_26_As_35_S_80_","Ag^1+ Pb^2+ As^3+ S^2-"
"Argentojarosite","Argentojarosite","AgFe^3+^_3_(SO_4_)_2_(OH)_6_","Ag^1+ Fe^3+ S^6+ O H"
"Argentoliveingite","Argentoliveingite","Ag_x_Pb_40-2x_As_48+x_S_112_ (3 < x < 4)","Ag^1+ Pb^2+ As^3+ S^2-"
"Argentopearceite","Argentopearceite","Ag_16_As_2_S_11_","Ag^1+ As^3+ S^2-"
"Argentopentlandite","Argentopentlandite","Ag(Fe,Ni)_8_S_8_","Ag Fe Ni S"
"Argentopolybasite-<i>T</i>2<i>ac</i>","Argentopolybasite-T2ac","Ag_16_Sb_2_S_11_","Ag^1+ Sb^3+ S^2-"
"Argentopyrite","Argentopyrite","AgFe_2_S_3_","Ag^1+ Fe^2+ Fe^3+ S^2-"
"Argentotennantite-(Zn)","Argentotennantite-(Zn)","Ag_6_(Cu_4_Zn_2_)As_4_S_13_","Ag^1+ Cu^1+ Zn^2+ As^3+ S^2-"
"Argentotetrahedrite-(Fe)","Argentotetrahedrite-(Fe)","Ag_6_(Cu_4_Fe_2_)Sb_4_S_13_","Ag^1+ Cu^1+ Fe^2+ Sb^3+ S^2-"
"Argentotetrahedrite-(Hg)","Argentotetrahedrite-(Hg)","Ag_6_(Cu_4_Hg_2_)Sb_4_S_13_","Ag^1+ Cu^1+ Hg^2+ Sb^3+ S^2-"
"Argentotetrahedrite-(Zn)","Argentotetrahedrite-(Zn)","Ag_6_(Cu_4_Zn_2_)Sb_4_S_13_","Ag^1+ Cu^1+ Zn^2+ Sb^3+ S^2-"
"Argesite","Argesite","(NH_4_)_7_Bi_3_Cl_16_","N^3- H Bi^3+ Cl"
"Argutite","Argutite","GeO_2_","Ge O"
"Argyrodite","Argyrodite","Ag_8_GeS_6_","Ag^1+ Ge^4+ S^2-"
"Arhbarite","Arhbarite","Cu_2_Mg(AsO_4_)(OH)_3_","Cu^2+ Mg As^5+ O H"
"Ariegilatite","Ariegilatite","BaCa_12_(SiO_4_)_4_(PO_4_)_2_F_2_O","Ba Ca Si O P F"
"Arisite-(Ce)","Arisite-(Ce)","NaCe_2_(CO_3_)_2_[F_2x_(CO_3_)_1-x_]F","Na Ce C O F"
"Arisite-(La)","Arisite-(La)","NaLa_2_(CO_3_)_2_[F_2x_(CO_3_)_1-x_]F","Na La C O F"
"Aristarainite","Aristarainite","Na_2_Mg[B_6_O_8_(OH)_4_]_2_·4H_2_O","Na Mg B O H"
"Armalcolite","Armalcolite","(Mg,Fe^2+^)Ti_2_O_5_","Mg Fe^2+ Ti^4+ O"
"Armangite","Armangite","Mn^2+^_26_[As^3+^_6_(OH)_4_O_14_][As^3+^_6_O_18_]_2_(CO_3_)","Mn^2+ As^3+ O C H"
"Armbrusterite","Armbrusterite","Na_6_K_5_Mn^3+^Mn^2+^_14_(Si_9_O_22_)_4_(OH)_10_·4H_2_O","Na K Mn^3+ Mn^2+ Si O H"
"Armellinoite-(Ce)","Armellinoite-(Ce)","Ca_4_Ce^4+^(AsO_4_)_4_·H_2_O","Ca Ce^4+ As^5+ O H"
"Armenite","Armenite","BaCa_2_(Al_6_Si_9_)O_30_·2H_2_O","Ba Ca Al Si O H"
"Armstrongite","Armstrongite","CaZr(Si_6_O_15_)·2H_2_O","Ca Zr^4+ Si O H"
"Arrheniusite-(Ce)","Arrheniusite-(Ce)","CaMg[(Ce_7_Y_3_)Ca_5_](SiO_4_)_3_(Si_3_B_3_O_18_)(AsO_4_)(BO_3_)F_11_","Ca Mg Ce Y Si O B As^5+ F"
"Arrojadite-(BaNa)","Arrojadite-(BaNa)","BaNa_3_(NaCa)Fe^2+^_13_Al(PO_4_)_11_(PO_3_OH)(OH)_2_","Ba Na Ca Fe^2+ Al P O H"
"Arrojadite-(KFe)","Arrojadite-(KFe)","(KNa)Fe^2+^(CaNa_2_)Fe^2+^_13_Al(PO_4_)_11_(PO_3_OH)(OH)_2_","K Na Fe^2+ Ca Al P O H"
"Arrojadite-(KNa)","Arrojadite-(KNa)","KNa_3_(CaNa_2_)Fe^2+^_13_Al(PO_4_)_11_(PO_3_OH)(OH)_2_","K Na Ca Fe^2+ Al P O H"
"Arrojadite-(PbFe)","Arrojadite-(PbFe)","PbFe^2+^(CaNa_2_)Fe^2+^_13_Al(PO_4_)_11_(PO_3_OH)(OH)_2_","Pb^2+ Fe^2+ Ca Na Al P O H"
"Arrojadite-(SrFe)","Arrojadite-(SrFe)","SrFe^2+^(CaNa_2_)Fe^2+^_13_Al(PO_4_)_11_(PO_3_OH)(OH)_2_","Sr Fe^2+ Ca Na Al P O H"
"Arsenatrotitanite","Arsenatrotitanite","NaTi(AsO_4_)O","Na Ti^4+ As^5+ O"
"Arsenbrackebuschite","Arsenbrackebuschite","Pb_2_(Fe^3+^,Zn)(AsO_4_)_2_(OH,H_2_O)","Pb^2+ Fe^3+ Zn^2+ As^5+ O H"
"Arsendescloizite","Arsendescloizite","PbZn(AsO_4_)(OH)","Pb^2+ Zn^2+ As^5+ O H"
"Arsenic","Arsenic","As","As"
"Arseniopleite","Arseniopleite","NaCaMnMn_2_(AsO_4_)_3_","Na Ca Mn^2+ As^5+ O"
"Arseniosiderite","Arseniosiderite","Ca_2_Fe^3+^_3_O_2_(AsO_4_)_3_·3H_2_O","Ca Fe^3+ O As^5+ H"
"Arsenmarcobaldiite","Arsenmarcobaldiite","Pb_12_(As_3.2_Sb_2.8_)_Σ6_S_21_","Pb^2+ As^3+ Sb^3+ S^2-"
"Arsenmedaite","Arsenmedaite","Mn^2+^_6_As^5+^Si_5_O_18_(OH)","Mn^2+ As^5+ Si O H"
"Arsenoclasite","Arsenoclasite","Mn^2+^_5_(AsO_4_)_2_(OH)_4_","Mn^2+ As^5+ O H"
"Arsenocrandallite","Arsenocrandallite","CaAl_3_(AsO_4_)(AsO_3_OH)(OH)_6_","Ca Al As^5+ O H"
"Arsenoflorencite-(Ce)","Arsenoflorencite-(Ce)","CeAl_3_(AsO_4_)_2_(OH)_6_","Ce^3+ Al As^5+ O H"
"Arsenoflorencite-(La)","Arsenoflorencite-(La)","LaAl_3_(AsO_4_)_2_(OH)_6_","La^3+ Al As^5+ O H"
"Arsenogorceixite","Arsenogorceixite","BaAl_3_(AsO_4_)(AsO_3_OH)(OH)_6_","Ba Al As^5+ O H"
"Arsenogoyazite","Arsenogoyazite","SrAl_3_(AsO_4_)(AsO_3_OH)(OH)_6_","Sr Al As^5+ O H"
"Arsenohauchecornite","Arsenohauchecornite","Ni_18_Bi_3_AsS_16_","Ni Bi As S"
"Arsenohopeite","Arsenohopeite","Zn_3_(AsO_4_)_2_·4H_2_O","Zn^2+ As^5+ O H"
"Arsenolamprite","Arsenolamprite","As","As"
"Arsenolite","Arsenolite","As_2_O_3_","As^3+ O"
"Arsenopalladinite","Arsenopalladinite","Pd_8_As_3_","Pd As"
"Arsenopyrite","Arsenopyrite","FeAsS","Fe^3+ As S"
"Arsenotučekite","Arsenotucekite","Ni_18_Sb_3_AsS_16_","Ni Sb As S"
"Arsenovanmeersscheite","Arsenovanmeersscheite","U(UO_2_)_3_(AsO_4_)_2_(OH)_6_·4H_2_O","U^6+ O As^5+ H"
"Arsenoveszelyite","Arsenoveszelyite","Cu_2_Zn(AsO_4_)(OH)_3_·2H_2_O","Cu^2+ Zn^2+ As^5+ O H"
"Arsenowagnerite","Arsenowagnerite","Mg_2_(AsO_4_)F","Mg As^5+ O F"
"Arsenquatrandorite","Arsenquatrandorite","Ag_17.6_Pb_12.8_Sb_38.1_As_11.5_S_96_","Ag^1+ Pb^2+ Sb^3+ As^3+ S^2-"
"Arsentsumebite","Arsentsumebite","Pb_2_Cu(AsO_4_)(SO_4_)(OH)","Pb^2+ Cu^2+ As^5+ O S^6+ H"
"Arsenudinaite","Arsenudinaite","NaMg_4_(AsO_4_)_3_","Na Mg As^5+ O"
"Arsenuranospathite","Arsenuranospathite","Al(UO_2_)_2_(AsO_4_)_2_F·20H_2_O","Al U^6+ O As^5+ F H"
"Arsenuranylite","Arsenuranylite","Ca(UO_2_)_4_(AsO_4_)_2_(OH)_4_·6H_2_O","Ca U^6+ O As^5+ H"
"Arsiccioite","Arsiccioite","AgHg_2_TlAs_2_S_6_","Ag^1+ Hg^2+ Tl^1+ As^3+ S^2-"
"Arsmirandite","Arsmirandite","Na_18_Cu_12_Fe^3+^O_8_(AsO_4_)_8_Cl_5_","Na Cu^2+ Fe^3+ O As^5+ Cl"
"Arthurite","Arthurite","CuFe^3+^_2_(AsO_4_)_2_(OH)_2_·4H_2_O","Cu^2+ Fe^3+ As^5+ O H"
"Artinite","Artinite","Mg_2_(CO_3_)(OH)_2_·3H_2_O","Mg C O H"
"Artroeite","Artroeite","PbAlF_3_(OH)_2_","Pb^2+ Al F O H"
"Artsmithite","Artsmithite","Hg^1+^_4_Al(PO_4_)_1.74_(OH)_1.78_","Hg^1+ Al P O H"
"Arupite","Arupite","Ni_3_(PO_4_)_2_·8H_2_O","Ni^2+ P O H"
"Arzrunite","Arzrunite","Pb_2_Cu_4_(SO_4_)(OH)_4_Cl_6_·2H_2_O","Pb^2+ Cu^2+ S^6+ O H Cl"
"Asbecasite","Asbecasite","Ca_3_TiAs_6_Be_2_Si_2_O_20_","Ca Ti^4+ As^3+ Be Si O"
"Asbolane","Asbolane","Mn^4+^(O,OH)_2_·(Co,Ni,Mg,Ca)_x_(OH)_2x_·nH_2_O","Mn^4+ O H Co^3+ Ni^2+ Mg Ca"
"Aschamalmite","Aschamalmite","Pb_6-3x_Bi_2+x_S_9_","Pb^2+ Bi^3+ S^2-"
"Ashburtonite","Ashburtonite","HCu_4_Pb_4_Si_4_O_12_(HCO_3_)_4_(OH)_4_Cl","H Pb^2+ Cu^2+ Si O C Cl"
"Ashcroftine-(Y)","Ashcroftine-(Y)","K_5_Na_5_Y_12_Si_28_O_70_(OH)_2_(CO_3_)_8_·8H_2_O","K Na Y Si O H C"
"Ashoverite","Ashoverite","Zn(OH)_2_","Zn^2+ O H"
"Asimowite","Asimowite","Fe_2_SiO_4_","Fe^2+ Si O"
"Asisite","Asisite","Pb_7_SiO_8_Cl_2_","Pb^2+ Si O Cl"
"Åskagenite-(Nd)","Askagenite-(Nd)","Mn^2+^Nd(Al_2_Fe^3+^)[Si_2_O_7_][SiO_4_]O_2_","Mn^2+ Nd Al Fe^3+ Si O"
"Aspedamite","Aspedamite","[box]_12_(Fe^3+^,Fe^2+^)_3_Nb_4_[Th(Nb,Fe^3+^)_12_O_42_][(H_2_O),(OH)]_12_","Fe^3+ Fe^2+ Nb^5+ Th^4+ O H"
"Aspidolite","Aspidolite","NaMg_3_(Si_3_Al)O_10_(OH)_2_","Na Mg Si Al O H"
"Asselbornite","Asselbornite","Pb(UO_2_)_4_(BiO)_3_(AsO_4_)_2_(OH)_7_·4H_2_O","Pb^2+ U^6+ O Bi^3+ As^5+ H"
"Astrocyanite-(Ce)","Astrocyanite-(Ce)","Cu_2_Ce_2_(UO_2_)(CO_3_)_5_(OH)_2_·1.5H_2_O","Cu^2+ Ce^3+ U^6+ O C H"
"Astrophyllite","Astrophyllite","K_2_NaFe^2+^_7_Ti_2_(Si_4_O_12_)_2_O_2_(OH)_4_F","K Na Fe^2+ Ti^4+ Si O H F"
"Atacamite","Atacamite","Cu_2_Cl(OH)_3_","Cu^2+ Cl O H"
"Atelestite","Atelestite","Bi_2_O(AsO_4_)(OH)","Bi^3+ O As^5+ H"
"Atelisite-(Y)","Atelisite-(Y)","Y_4_Si_3_O_8_(OH)_8_","Y Si O H"
"Atencioite","Atencioite","Ca_2_Fe^2+^_3_Mg_2_Be_4_(PO_4_)_6_(OH)_4_·6H_2_O","Ca Fe^2+ Mg Be P O H"
"Athabascaite","Athabascaite","Cu_5_Se_4_","Cu Se"
"Atheneite","Atheneite","Pd_2_(As_0.75_Hg_0.25_)","Pd As Hg"
"Atlasovite","Atlasovite","Cu^2+^_6_Fe^3+^Bi^3+^O_4_(SO_4_)_5_·KCl","Cu^2+ Fe^3+ Bi^3+ O S^6+ K Cl"
"Atokite","Atokite","Pd_3_Sn","Pd Sn"
"Attakolite","Attakolite","CaMn^2+^Al_4_(HSiO_4_)(PO_4_)_3_(OH)_4_","Ca Mn^2+ Al H Si O P"
"Attikaite","Attikaite","Ca_3_Cu_2_Al_2_(AsO_4_)_4_(OH)_4_·2H_2_O","Ca Cu^2+ Al As^5+ O H"
"Aubertite","Aubertite","Cu^2+^Al(SO_4_)_2_Cl·14H_2_O","Cu^2+ Al S^6+ O Cl H"
"Auerbakhite","Auerbakhite","MnTl_2_As_2_S_5_","Mn^2+ Tl^1+ As^3+ S^2-"
"Augelite","Augelite","Al_2_(PO_4_)(OH)_3_","Al P O H"
"Augite","Augite","(Ca,Mg,Fe)_2_Si_2_O_6_","Ca Mg Fe^2+ Fe^3+ Si Al O"
"Auriacusite","Auriacusite","Fe^3+^Cu^2+^(AsO_4_)O","Fe^3+ Cu^2+ As^5+ O"
"Aurichalcite","Aurichalcite","(Zn,Cu)_5_(CO_3_)_2_(OH)_6_","Zn^2+ C O H"
"Auricupride","Auricupride","Cu_3_Au","Cu Au"
"Aurihydrargyrumite","Aurihydrargyrumite","Au_6_Hg_5_","Au Hg"
"Aurivilliusite","Aurivilliusite","Hg^1+^Hg^2+^OI","Hg^1+ Hg^2+ O I^1-"
"Aurorite","Aurorite","Mn^2+^Mn^4+^_3_O_7_·3H_2_O","Mn^2+ Mn^4+ O H"
"Aurostibite","Aurostibite","AuSb_2_","Au Sb"
"Austinite","Austinite","CaZn(AsO_4_)(OH)","Ca Zn^2+ As^5+ O H"
"Autunite","Autunite","Ca(UO_2_)_2_(PO_4_)_2_·10-12H_2_O","Ca U^6+ O P H"
"Avdeevite","Avdeevite","(Na,Cs)(Be_2_Li)Al_2_(Si_6_O_18_)","Na Cs Be Li Al Si O"
"Avdoninite","Avdoninite","K_2_Cu_5_Cl_8_(OH)_4_·2H_2_O","K Cu^2+ Cl O H"
"Averievite","Averievite","Cu_5_O_2_(VO_4_)_2_·CuCl_2_","Cu^2+ O V^5+ Cl"
"Avicennite","Avicennite","Tl_2_O_3_","Tl^3+ O"
"Avogadrite","Avogadrite","KBF_4_","K B F"
"Awaruite","Awaruite","Ni_3_Fe","Ni Fe"
"Axelite","Axelite","Na_14_Cu_7_(AsO_4_)_8_F_2_Cl_2_","Na Cu^2+ As^5+ O F Cl"
"Axinite-(Fe)","Axinite-(Fe)","Ca_4_Fe^2+^_2_Al_4_[B_2_Si_8_O_30_](OH)_2_","Ca Fe^2+ Al B Si O H"
"Axinite-(Mg)","Axinite-(Mg)","Ca_4_Mg_2_Al_4_[B_2_Si_8_O_30_](OH)_2_","Ca Mg Al B Si O H"
"Axinite-(Mn)","Axinite-(Mn)","Ca_4_Mn^2+^_2_Al_4_[B_2_Si_8_O_30_](OH)_2_","Ca Mn^2+ Al B Si O H"
"Azoproite","Azoproite","Mg_2_[(Ti,Mg),Fe^3+^]O_2_(BO_3_)","Mg Ti^4+ Fe^3+ O B"
"Azurite","Azurite","Cu_3_(CO_3_)_2_(OH)_2_","Cu^2+ C O H"
"Babánekite","Babanekite","Cu_3_(AsO_4_)_2_·8H_2_O","Cu^2+ As^5+ O H"
"Babefphite","Babefphite","BaBe(PO_4_)F","Ba Be P O F"
"Babingtonite","Babingtonite","Ca_2_Fe^2+^Fe^3+^Si_5_O_14_(OH)","Ca Fe^2+ Fe^3+ Si O H"
"Babkinite","Babkinite","Pb_2_Bi_2_(S,Se)_3_","Pb Bi S"
"Backite","Backite","Pb_2_AlTeO_6_Cl","Pb^2+ Al Te^6+ O Cl"
"Badakhshanite-(Y)","Badakhshanite-(Y)","Y_2_Mn_4_Al(Si_2_B_7_BeO_24_)","Y^3+ Mn^2+ Al Si B Be O"
"Badalovite","Badalovite","NaNaMg(MgFe^3+^)(AsO_4_)_3_","Na Mg Fe^3+ As^5+ O"
"Baddeleyite","Baddeleyite","ZrO_2_","Zr^4+ O"
"Badengzhuite","Badengzhuite","TiP","Ti P"
"Bafertisite","Bafertisite","Ba_2_Fe^2+^_4_Ti_2_(Si_2_O_7_)_2_O_2_(OH)_2_F_2_","Ba Fe^2+ Ti^4+ Si O H F"
"Baghdadite","Baghdadite","Ca_6_Zr_2_(Si_2_O_7_)_2_O_4_","Ca Zr^4+ Si O"
"Bahariyaite","Bahariyaite","KMnO_4_","K Mn^7+ O"
"Bahianite","Bahianite","Al_5_Sb^5+^_3_O_14_(OH)_2_","Al Sb^5+ O H"
"Baileychlore","Baileychlore","(Zn,Fe^2+^,Al,Mg)_6_(Si,Al)_4_O_10_(OH)_8_","Zn^2+ Al Si O H"
"Bainbridgeite-(YCe)","Bainbridgeite-(YCe)","Na_2_Ba_2_YCe(CO_3_)_6_·3H_2_O","Na Ba Y Ce C O H"
"Bairdite","Bairdite","Pb_2_Cu^2+^_4_Te^6+^_2_O_10_(OH)_2_(SO_4_)·H_2_O","Pb^2+ Cu^2+ Te^6+ O H S^6+"
"Bakhchisaraitsevite","Bakhchisaraitsevite","Na_2_Mg_5_(PO_4_)_4_·7H_2_O","Na Mg P O H"
"Baksanite","Baksanite","Bi_6_Te_2_S_3_","Bi Te S"
"Balangeroite","Balangeroite","Mg_21_Si_8_O_27_(OH)_20_","Mg Si O H"
"Balestraite","Balestraite","KLi_2_V^5+^Si_4_O_12_","K Li V^5+ Si O"
"Balićžunićite","Baliczunicite","Bi_2_O(SO_4_)_2_","Bi^3+ O S^6+"
"Balipholite","Balipholite","LiBaMg_2_Al_3_(Si_2_O_6_)_2_(OH)_8_","Li Ba Mg Al Si O H"
"Balkanite","Balkanite","Ag_5_Cu_9_HgS_8_","Ag Cu Hg S"
"Balliranoite","Balliranoite","(Na,K)_6_Ca_2_(Si_6_Al_6_O_24_)Cl_2_(CO_3_)","Na K Ca Si Al O Cl C"
"Balyakinite","Balyakinite","Cu^2+^(Te^4+^O_3_)","Cu^2+ Te^4+ O"
"Bambollaite","Bambollaite","Cu(Se,Te)_2_","Cu Se"
"Bamfordite","Bamfordite","Fe^3+^Mo_2_O_6_(OH)_3_·H_2_O","Fe^3+ Mo^6+ O H"
"Banalsite","Banalsite","Na_2_BaAl_4_Si_4_O_16_","Na Ba Al Si O"
"Bandylite","Bandylite","CuB(OH)_4_Cl","Cu^2+ B O H Cl"
"Bannermanite","Bannermanite","(Na,K)_x_V^4+^_x_V^5+^_6-x_O_15_ (0.5<x<0.9)","Na K V^4+ V^5+ O"
"Bannisterite","Bannisterite","(Ca,K,Na)(Mn^2+^,Fe^2+^)_10_(Si,Al)_16_O_38_(OH)_8_·nH_2_O","Ca K Na Mn^2+ Fe^2+ Si Al O H"
"Baotite","Baotite","Ba_4_(Ti,Nb,W)_8_O_16_(SiO_3_)_4_Cl","Ba Ti^4+ Nb^5+ W^6+ O Si Cl"
"Barahonaite-(Al)","Barahonaite-(Al)","(Ca,Cu,Na,Fe^3+^,Al)_12_Al_2_(AsO_4_)_8_(OH,Cl)_x_·nH_2_O","Ca Cu^2+ Na Fe^3+ Al As^5+ O H Cl"
"Barahonaite-(Fe)","Barahonaite-(Fe)","(Ca,Cu,Na,Fe^3+^,Al)_12_Fe^3+^_2_(AsO_4_)_8_(OH,Cl)_x_·nH_2_O","Ca Cu^2+ Na Fe^3+ Al As^5+ O H Cl"
"Bararite","Bararite","(NH_4_)_2_SiF_6_","N^3- H Si F"
"Baratovite","Baratovite","KLi_3_Ca_7_Ti_2_(SiO_3_)_12_F_2_","K Li Ca Ti^4+ Si O F"
"Barberiite","Barberiite","(NH_4_)BF_4_","N^3- H B F"
"Barbosalite","Barbosalite","Fe^2+^Fe^3+^_2_(PO_4_)_2_(OH)_2_","Fe^2+ Fe^3+ P O H"
"Barentsite","Barentsite","Na_7_Al(HCO_3_)_2_(CO_3_)_2_F_4_","Na Al C O H F"
"Bariandite","Bariandite","Al_0.6_(V^5+^,V^4+^)_8_O_20_·9H_2_O","Al V^5+ V^4+ O H"
"Barićite","Baricite","(Mg,Fe)_3_(PO_4_)_2_·8H_2_O","Mg P O H"
"Barikaite","Barikaite","Ag_3_Pb_10_(Sb_8_As_11_)_Σ19_S_40_","Ag^1+ Pb^2+ Sb^3+ As^3+ S^2-"
"Barioferrite","Barioferrite","BaFe^3+^_12_O_19_","Ba Fe^3+ O"
"Bario-olgite","Bario-olgite","Na(Na,Sr,Ce)_2_Ba(PO_4_)_2_","Na Sr Ce Ba P O"
"Bario-orthojoaquinite","Bario-orthojoaquinite","Ba_4_Fe^2+^_2_Ti_2_O_2_(SiO_3_)_8_·H_2_O","Ba Fe^2+ Ti^4+ O Si H"
"Barioperovskite","Barioperovskite","BaTiO_3_","Ba Ti^4+ O"
"Bariopharmacoalumite","Bariopharmacoalumite","Ba_0.5_Al_4_[(AsO_4_)_3_(OH)_4_]·4H_2_O","Ba Al As^5+ O H"
"Bariopharmacosiderite","Bariopharmacosiderite","Ba_0.5_Fe^3+^_4_(AsO_4_)_3_(OH)_4_·5H_2_O","Ba Fe^3+ As^5+ O H"
"Bariosincosite","Bariosincosite","Ba(VO)_2_(PO_4_)_2_·4H_2_O","Ba V^4+ O P H"
"Barlowite","Barlowite","Cu_4_BrF(OH)_6_","Cu^2+ Br F O H"
"Barnesite","Barnesite","Na_2_V^5+^_6_O_16_·3H_2_O","Na V^5+ O H"
"Barquillite","Barquillite","Cu_2_(Cd,Fe)GeS_4_","Cu^1+ Cd^2+ Ge^4+ S^2-"
"Barrerite","Barrerite","Na_2_(Si_7_Al_2_)O_18_·6H_2_O","Na Al Si O H"
"Barringerite","Barringerite","(Fe,Ni)_2_P","Fe P"
"Barroisite","Barroisite","[box](NaCa)(Mg_3_Al_2_)(Si_7_Al)O_22_(OH)_2_","Na Ca Mg Al Si O H"
"Barrotite","Barrotite","Cu_9_Al(HSiO_4_)_2_[(SO_4_)(HAsO_4_)_0.5_](OH)_12_·8H_2_O","Cu^2+ Al H Si O S^6+ As^5+"
"Barrydawsonite-(Y)","Barrydawsonite-(Y)","Na_1.5_Y_0.5_CaSi_3_O_9_H","Na Y^3+ Ca Si O H"
"Barstowite","Barstowite","Pb_4_(CO_3_)Cl_6_·H_2_O","Pb^2+ C O Cl H"
"Bartelkeite","Bartelkeite","PbFe^2+^Ge(Ge_2_O_7_)(OH)_2_·H_2_O","Pb^2+ Fe^2+ Ge O H"
"Bartonite","Bartonite","K_6_Fe_20_S_26_S","K Fe S"
"Barwoodite","Barwoodite","Mn^2+^_6_(Nb^5+^,[box])_2_(SiO_4_)_2_(O,OH)_6_","Mn^2+ Nb^5+ Si O H"
"Barylite","Barylite","BaBe_2_Si_2_O_7_","Ba Be Si O"
"Barysilite","Barysilite","Pb_8_Mn(Si_2_O_7_)_3_","Pb^2+ Mn^2+ Si O"
"Baryte","Baryte","Ba(SO_4_)","Ba S^6+ O"
"Barytocalcite","Barytocalcite","BaCa(CO_3_)_2_","Ba Ca C O"
"Barytolamprophyllite","Barytolamprophyllite","(BaK)Ti_2_Na_3_Ti(Si_2_O_7_)_2_O_2_(OH)_2_","Ba K Ti^4+ Na Si O H"
"Bassanite","Bassanite","Ca(SO_4_)·0.5H_2_O","Ca S^6+ O H"
"Bassetite","Bassetite","Fe^2+^(UO_2_)_2_(PO_4_)_2_(H_2_O)_10_","Fe^2+ U^6+ O P H"
"Bassoite","Bassoite","SrV^4+^_3_O_7_·4H_2_O","Sr V^4+ O H"
"Bastnäsite-(Ce)","Bastnasite-(Ce)","Ce(CO_3_)F","Ce C O F"
"Bastnäsite-(La)","Bastnasite-(La)","La(CO_3_)F","La C O F"
"Bastnäsite-(Nd)","Bastnasite-(Nd)","Nd(CO_3_)F","Nd C O F"
"Bastnäsite-(Y)","Bastnasite-(Y)","Y(CO_3_)F","Y C O F"
"Batagayite","Batagayite","CaZn_2_(Zn,Cu)_6_(PO_4_)_4_[PO_3_(OH)]_3_·12H_2_O","Ca Zn^2+ Cu^2+ P O H"
