"Mineral Name","Mineral Name (plain)","IMA Chemistry (plain)","Chemistry Elements"
"Andrianovite","Andrianovite","Na12(K,Sr,Ce)3Ca6Mn3Zr3Nb(Si25O73)(O,H2O,OH)5","Na K Sr Ce Ca Mn Zr Nb Si O H"
"Anduoite","Anduoite","RuAs2","Ru As"
"Andychristyite","Andychristyite","PbCu2+Te6+O5(H2O)","Pb Cu Te O H"
"Andymcdonaldite","Andymcdonaldite","Fe2TeO6","Fe Te O"
"Andyrobertsite","Andyrobertsite","KCdCu5(AsO4)4[As(OH)2O2]·2H2O","K Cd Cu As O H"
"Angarfite","Angarfite","NaFe3+5(PO4)4(OH)4·4H2O","Na Fe P O H"
"Angastonite","Angastonite","CaMgAl2(PO4)2(OH)4·7H2O","Ca Mg Al P O H"
"Ángelaite","Angelaite","Cu2AgPbBiS4","Cu Ag Pb Bi S"
"Angelellite","Angelellite","Fe3+4O3(AsO4)2","Fe O As"
"Anglesite","Anglesite","Pb(SO4)","Pb S O"
"Anhydrite","Anhydrite","Ca(SO4)","Ca S O"
"Anhydrokainite","Anhydrokainite","KMg(SO4)Cl","K Mg S O Cl"
"Anilite","Anilite","Cu7S4","Cu S"
"Aniyunwiyaite","Aniyunwiyaite","Ca3Mn2+Fe2+Al4(PO4)6(OH)4·12H2O","Ca Mn Fe Al P O H"
"Ankangite","Ankangite","Ba(Ti,V3+,Cr)8O16","Ba Ti V Cr O"
"Ankerite","Ankerite","Ca(Fe2+,Mg)(CO3)2","Ca Fe Mg C O"
"Ankinovichite","Ankinovichite","NiAl4(V5+O3)2(OH)12·2H2O","Ni Al V O H"
"Annabergite","Annabergite","Ni3(AsO4)2·8H2O","Ni As O H"
"Annite","Annite","KFe2+3(AlSi3O10)(OH)2","K Fe Al Si O H"
"Annivite","Annivite","Cu6[Cu4(Fe,Zn)2](Bi,Sb,As)4S13","Cu Fe Zn Bi Sb As S"
"Anorpiment","Anorpiment","As2S3","As S"
"Anorthite","Anorthite","Ca(Al2Si2O8)","Ca Al Si O"
"Anorthoclase","Anorthoclase","(Na,K)AlSi3O8","Na K Al Si O"
"Anorthominasragrite","Anorthominasragrite","V4+O(SO4)·5H2O","V O S H"
"Ansermetite","Ansermetite","Mn2+V5+2O6·4H2O","Mn V O H"
"Antarcticite","Antarcticite","CaCl2·6H2O","Ca Cl H O"
"Anthoinite","Anthoinite","AlWO3(OH)3","Al W O H"
"Anthonyite","Anthonyite","Cu(OH)2·3H2O","Cu O H"
"Anthophyllite","Anthophyllite","[box]Mg2Mg5Si8O22(OH)2","Mg Si O H"
"Antigorite","Antigorite","Mg3Si2O5(OH)4","Mg Si O H"
"Antimonselite","Antimonselite","Sb2Se3","Sb Se"
"Antimony","Antimony","Sb","Sb"
"Antipinite","Antipinite","KNa3Cu2(C2O4)4","K Na Cu C O"
"Antitaenite","Antitaenite","(Ni,Fe)","Ni Fe"
"Antlerite","Antlerite","Cu2+3(SO4)(OH)4","Cu S O H"
"Antofagastaite","Antofagastaite","Na2Ca(SO4)2·1.5H2O","Na Ca S O H"
"Anyuiite","Anyuiite","AuPb2","Au Pb"
"Anzaite-(Ce)","Anzaite-(Ce)","Ce4Fe2+Ti6O18(OH)2","Ce Fe Ti O H"
"Apachite","Apachite","Cu2+9Si10O29·11H2O","Cu Si O H"
"Apexite","Apexite","NaMg(PO4)·9H2O","Na Mg P O H"
"Aphthitalite","Aphthitalite","K3Na(SO4)2","K Na S O"
"Apjohnite","Apjohnite","Mn2+Al2(SO4)4·22H2O","Mn Al S O H"
"Aplowite","Aplowite","Co(SO4)·4H2O","Co S O H"
"Apuanite","Apuanite","(Fe2+Fe3+2)(Fe3+2Sb3+4)O12S","Fe Sb O S"
"Aqualite","Aqualite","(H3O)8(Na,K,Sr)5Ca6Zr3Si26O66(OH)9Cl","H O Na K Sr Ca Zr Si Cl"
"Aradite","Aradite","BaCa6[(SiO4)(VO4)](VO4)2F","Ba Ca Si O V F"
"Aragonite","Aragonite","Ca(CO3)","Ca C O"
"Arakiite","Arakiite","ZnMn2+12Fe3+2(As3+O3)(As5+O4)2(OH)23","Zn Mn Fe As O H"
"Aramayoite","Aramayoite","Ag3Sb2(Bi,Sb)S6","Ag Sb Bi S"
"Arangasite","Arangasite","Al2(SO4)(PO4)F·9H2O","Al S O P F H"
"Arapovite","Arapovite","(K1-x[box]x)(Ca,Na)2U4+Si8O20 [x ≈ 0.5]","K Ca Na U Si O"
"Aravaipaite","Aravaipaite","Pb3AlF9·H2O","Pb Al F H O"
"Aravaite","Aravaite","Ba2Ca18(SiO4)6(PO4)3(CO3)F3O","Ba Ca Si O P C F"
"Arcanite","Arcanite","K2(SO4)","K S O"
"Archerite","Archerite","H2K(PO4)","H K P O"
"Arctite","Arctite","(Na5Ca)Ca6Ba(PO4)6F3","Na Ca Ba P O F"
"Arcubisite","Arcubisite","Ag6CuBiS4","Ag Cu Bi S"
"Ardaite","Ardaite","Pb17Sb15S35Cl9","Pb Sb S Cl"
"Ardealite","Ardealite","Ca2(PO3OH)(SO4)·4H2O","Ca P O H S"
"Ardennite-(As)","Ardennite-(As)","Mn2+4Al4(AlMg)(AsO4)(SiO4)2(Si3O10)(OH)6","Mn Al Mg As O Si H"
