"Mineral Name","Mineral Name (plain)","IMA Chemistry (plain)","Chemistry Elements"
"Aristarainite","Aristarainite","Na2Mg[B6O8(OH)4]2·4H2O","Na Mg B O H"
"Armalcolite","Armalcolite","(Mg,Fe2+)Ti2O5","Mg Fe Ti O"
"Armangite","Armangite","Mn2+26[As3+6(OH)4O14][As3+6O18]2(CO3)","Mn As O H C"
"Armbrusterite","Armbrusterite","Na6K5Mn3+Mn2+14(Si9O22)4(OH)10·4H2O","Na K Mn Si O H"
"Armellinoite-(Ce)","Armellinoite-(Ce)","Ca4Ce4+(AsO4)4·H2O","Ca Ce As O H"
"Armenite","Armenite","BaCa2(Al6Si9)O30·2H2O","Ba Ca Al Si O H"
"Armstrongite","Armstrongite","CaZr(Si6O15)·2H2O","Ca Zr Si O H"
"Arnhemite","Arnhemite","K4Mg2(P2O7)2·5H2O","K Mg P O H"
"Arrheniusite-(Ce)","Arrheniusite-(Ce)","CaMg[(Ce7Y3)Ca5](SiO4)3(Si3B3O18)(AsO4)(BO3)F11","Ca Mg Ce Y Si O B As F"
"Arrojadite-(BaNa)","Arrojadite-(BaNa)","BaNa3(NaCa)Fe2+13Al(PO4)11(PO3OH)(OH)2","Ba Na Ca Fe Al P O H"
"Arrojadite-(KFe)","Arrojadite-(KFe)","(KNa)Fe2+(CaNa2)Fe2+13Al(PO4)11(PO3OH)(OH)2","K Na Fe Ca Al P O H"
"Arrojadite-(KNa)","Arrojadite-(KNa)","KNa3(CaNa2)Fe2+13Al(PO4)11(PO3OH)(OH)2","K Na Ca Fe Al P O H"
"Arrojadite-(NaFe)","Arrojadite-(NaFe)","",""
"Arrojadite-(PbFe)","Arrojadite-(PbFe)","PbFe2+(CaNa2)Fe2+13Al(PO4)11(PO3OH)(OH)2","Pb Fe Ca Na Al P O H"
"Arrojadite-(SrFe)","Arrojadite-(SrFe)","SrFe2+(CaNa2)Fe2+13Al(PO4)11(PO3OH)(OH)2","Sr Fe Ca Na Al P O H"
"Arsenatrotitanite","Arsenatrotitanite","NaTi(AsO4)O","Na Ti As O"
"Arsenbrackebuschite","Arsenbrackebuschite","Pb2(Fe3+,Zn)(AsO4)2(OH,H2O)","Pb Fe Zn As O H"
"Arsendescloizite","Arsendescloizite","PbZn(AsO4)(OH)","Pb Zn As O H"
"Arsenic","Arsenic","As","As"
"Arseniopleite","Arseniopleite","NaCaMnMn2(AsO4)3","Na Ca Mn As O"
"Arseniosiderite","Arseniosiderite","Ca2Fe3+3O2(AsO4)3·3H2O","Ca Fe O As H"
"Arsenmarcobaldiite","Arsenmarcobaldiite","Pb12(As3.2Sb2.8)Σ6S21","Pb As Sb S"
"Arsenmedaite","Arsenmedaite","Mn2+6As5+Si5O18(OH)","Mn As Si O H"
"Arsenoclasite","Arsenoclasite","Mn2+5(AsO4)2(OH)4","Mn As O H"
"Arsenocrandallite","Arsenocrandallite","CaAl3(AsO4)(AsO3OH)(OH)6","Ca Al As O H"
"Arsenoflorencite-(Ce)","Arsenoflorencite-(Ce)","CeAl3(AsO4)2(OH)6","Ce Al As O H"
"Arsenoflorencite-(La)","Arsenoflorencite-(La)","LaAl3(AsO4)2(OH)6","La Al As O H"
"Arsenoflorencite-(Nd)","Arsenoflorencite-(Nd)","NdAl3(AsO4)2(OH)6","Nd Al As O H"
"Arsenogorceixite","Arsenogorceixite","BaAl3(AsO4)(AsO3OH)(OH)6","Ba Al As O H"
"Arsenogoyazite","Arsenogoyazite","SrAl3(AsO4)(AsO3OH)(OH)6","Sr Al As O H"
"Arsenohauchecornite","Arsenohauchecornite","Ni18Bi3AsS16","Ni Bi As S"
"Arsenohopeite","Arsenohopeite","Zn3(AsO4)2·4H2O","Zn As O H"
"Arsenolamprite","Arsenolamprite","As","As"
"Arsenolite","Arsenolite","As2O3","As O"
"Arsenopalladinite","Arsenopalladinite","Pd8As3","Pd As"
"Arsenopyrite","Arsenopyrite","FeAsS","Fe As S"
"Arsenotučekite","Arsenotucekite","Ni18Sb3AsS16","Ni Sb As S"
"Arsenovanmeersscheite","Arsenovanmeersscheite","U(UO2)3(AsO4)2(OH)6·4H2O","U O As H"
"Arsenoveszelyite","Arsenoveszelyite","Cu2Zn(AsO4)(OH)3·2H2O","Cu Zn As O H"
"Arsenowagnerite","Arsenowagnerite","Mg2(AsO4)F","Mg As O F"
"Arsenowaylandite","Arsenowaylandite","BiAl3(AsO4)2(OH)6","Bi Al As O H"
"Arsenpolybasite","Arsenpolybasite","(Ag,Cu)16As2S11","Ag Cu As S"
"Arsenquatrandorite","Arsenquatrandorite","Ag17.6Pb12.8Sb38.1As11.5S96","Ag Pb Sb As S"
"Arsentsumebite","Arsentsumebite","Pb2Cu(AsO4)(SO4)(OH)","Pb Cu As O S H"
"Arsenudinaite","Arsenudinaite","NaMg4(AsO4)3","Na Mg As O"
"Arsenuranospathite","Arsenuranospathite","Al(UO2)2(AsO4)2F·20H2O","Al U O As F H"
"Arsenuranylite","Arsenuranylite","Ca(UO2)4(AsO4)2(OH)4·6H2O","Ca U O As H"
"Arsiccioite","Arsiccioite","AgHg2TlAs2S6","Ag Hg Tl As S"
"Arsmirandite","Arsmirandite","Na18Cu12Fe3+O8(AsO4)8Cl5","Na Cu Fe O As Cl"
"Arthurite","Arthurite","CuFe3+2(AsO4)2(OH)2·4H2O","Cu Fe As O H"
"Artinite","Artinite","Mg2(CO3)(OH)2·3H2O","Mg C O H"
"Artroeite","Artroeite","PbAlF3(OH)2","Pb Al F O H"
"Artsmithite","Artsmithite","Hg1+4Al(PO4)1.74(OH)1.78","Hg Al P O H"
"Arupite","Arupite","Ni3(PO4)2·8H2O","Ni P O H"
"Arzakite","Arzakite","Hg3S2Br2","Hg S Br"
"Arzrunite","Arzrunite","Pb2Cu4(SO4)(OH)4Cl6·2H2O","Pb Cu S O H Cl"
"Asbecasite","Asbecasite","Ca3TiAs6Be2Si2O20","Ca Ti As Be Si O"
"Asbolane","Asbolane","Mn4+(O,OH)2·(Co,Ni,Mg,Ca)x(OH)2x·nH2O","Mn O H Co Ni Mg Ca"
"Aschamalmite","Aschamalmite","Pb6-3xBi2+xS9","Pb Bi S"
"Ashburtonite","Ashburtonite","HCu4Pb4Si4O12(HCO3)4(OH)4Cl","H Cu Pb Si O C Cl"
"Ashcroftine-(Y)","Ashcroftine-(Y)","K5Na5Y12Si28O70(OH)2(CO3)8·8H2O","K Na Y Si O H C"
"Ashoverite","Ashoverite","Zn(OH)2","Zn O H"
"Asimowite","Asimowite","Fe2SiO4","Fe Si O"
"Asisite","Asisite","Pb7SiO8Cl2","Pb Si O Cl"
"Åskagenite-(Nd)","Askagenite-(Nd)","Mn2+Nd(Al2Fe3+)[Si2O7][SiO4]O2","Mn Nd Al Fe Si O"
"Aspedamite","Aspedamite","[box]12(Fe3+,Fe2+)3Nb4[Th(Nb,Fe3+)12O42][(H2O),(OH)]12","Fe Nb Th O H"
"Aspidolite","Aspidolite","NaMg3(Si3Al)O10(OH)2","Na Mg Si Al O H"
"Asselbornite","Asselbornite","Pb(UO2)4(BiO)3(AsO4)2(OH)7·4H2O","Pb U O Bi As H"
"Astrocyanite-(Ce)","Astrocyanite-(Ce)","Cu2Ce2(UO2)(CO3)5(OH)2·1.5H2O","Cu Ce U O C H"
"Astrophyllite","Astrophyllite","K2NaFe2+7Ti2(Si4O12)2O2(OH)4F","K Na Fe Ti Si O H F"
"Atacamite","Atacamite","Cu2Cl(OH)3","Cu Cl O H"
"Atelestite","Atelestite","Bi2O(AsO4)(OH)","Bi O As H"
"Atelisite-(Y)","Atelisite-(Y)","Y4Si3O8(OH)8","Y Si O H"
"Atencioite","Atencioite","Ca2Fe2+3Mg2Be4(PO4)6(OH)4·6H2O","Ca Fe Mg Be P O H"
"Athabascaite","Athabascaite","Cu5Se4","Cu Se"
"Atheneite","Atheneite","Pd2(As0.75Hg0.25)","Pd As Hg"
"Atlasovite","Atlasovite","Cu2+6Fe3+Bi3+O4(SO4)5·KCl","Cu Fe Bi O S K Cl"
"Atokite","Atokite","Pd3Sn","Pd Sn"
"Attakolite","Attakolite","CaMn2+Al4(HSiO4)(PO4)3(OH)4","Ca Mn Al H Si O P"
"Attikaite","Attikaite","Ca3Cu2Al2(AsO4)4(OH)4·2H2O","Ca Cu Al As O H"
"Aubertite","Aubertite","Cu2+Al(SO4)2Cl·14H2O","Cu Al S O Cl H"
"Auerbakhite","Auerbakhite","MnTl2As2S5","Mn Tl As S"
"Augelite","Augelite","Al2(PO4)(OH)3","Al P O H"
"Augite","Augite","(Ca,Mg,Fe)2Si2O6","Ca Mg Fe Si O"
"Auriacusite","Auriacusite","Fe3+Cu2+(AsO4)O","Fe Cu As O"
"Aurichalcite","Aurichalcite","(Zn,Cu)5(CO3)2(OH)6","Zn Cu C O H"
"Auricupride","Auricupride","Cu3Au","Cu Au"
"Aurihydrargyrumite","Aurihydrargyrumite","Au6Hg5","Au Hg"
"Aurivilliusite","Aurivilliusite","Hg1+Hg2+OI","Hg O I"
"Auroantimonate","Auroantimonate","AuSbO3","Au Sb O"
"Aurorite","Aurorite","Mn2+Mn4+3O7·3H2O","Mn O H"
"Aurostibite","Aurostibite","AuSb2","Au Sb"
"Austinite","Austinite","CaZn(AsO4)(OH)","Ca Zn As O H"
"Autunite","Autunite","Ca(UO2)2(PO4)2·10-12H2O","Ca U O P H"
"Avdeevite","Avdeevite","(Na,Cs)(Be2Li)Al2(Si6O18)","Na Cs Be Li Al Si O"
"Avdoninite","Avdoninite","K2Cu5Cl8(OH)4·2H2O","K Cu Cl O H"
"Averievite","Averievite","Cu5O2(VO4)2·CuCl2","Cu O V Cl"
"Avicennite","Avicennite","Tl2O3","Tl O"
"Avogadrite","Avogadrite","KBF4","K B F"
"Awaruite","Awaruite","Ni3Fe","Ni Fe"
"Axelite","Axelite","Na14Cu7(AsO4)8F2Cl2","Na Cu As O F Cl"
"Axinite-(Fe)","Axinite-(Fe)","Ca4Fe2+2Al4[B2Si8O30](OH)2","Ca Fe Al B Si O H"
"Axinite-(Mg)","Axinite-(Mg)","Ca4Mg2Al4[B2Si8O30](OH)2","Ca Mg Al B Si O H"
"Axinite-(Mn)","Axinite-(Mn)","Ca4Mn2+2Al4[B2Si8O30](OH)2","Ca Mn Al B Si O H"
"Azoproite","Azoproite","Mg2[(Ti,Mg),Fe3+]O2(BO3)","Mg Ti Fe O B"
"Azurite","Azurite","Cu3(CO3)2(OH)2","Cu C O H"
"Babánekite","Babanekite","Cu3(AsO4)2·8H2O","Cu As O H"
"Babefphite","Babefphite","BaBe(PO4)F","Ba Be P O F"
"Babingtonite","Babingtonite","Ca2Fe2+Fe3+Si5O14(OH)","Ca Fe Si O H"
"Babkinite","Babkinite","Pb2Bi2(S,Se)3","Pb Bi S Se"
"Backite","Backite","Pb2AlTeO6Cl","Pb Al Te O Cl"
"Badakhshanite-(Y)","Badakhshanite-(Y)","Y2Mn4Al(Si2B7BeO24)","Y Mn Al Si B Be O"
"Badalovite","Badalovite","NaNaMg(MgFe3+)(AsO4)3","Na Mg Fe As O"
"Baddeleyite","Baddeleyite","ZrO2","Zr O"
"Badengzhuite","Badengzhuite","TiP","Ti P"
"Bafertisite","Bafertisite","Ba2Fe2+4Ti2(Si2O7)2O2(OH)2F2","Ba Fe Ti Si O H F"
"Baghdadite","Baghdadite","Ca6Zr2(Si2O7)2O4","Ca Zr Si O"
"Bahariyaite","Bahariyaite","KMnO4","K Mn O"
"Bahianite","Bahianite","Al5Sb5+3O14(OH)2","Al Sb O H"
"Baileychlore","Baileychlore","(Zn,Fe2+,Al,Mg)6(Si,Al)4O10(OH)8","Zn Fe Al Mg Si O H"
"Bainbridgeite-(YCe)","Bainbridgeite-(YCe)","Na2Ba2YCe(CO3)6·3H2O","Na Ba Y Ce C O H"
"Bairdite","Bairdite","Pb2Cu2+4Te6+2O10(OH)2(SO4)·H2O","Pb Cu Te O H S"
"Bakerite","Bakerite","Ca4B5(SiO4)3(O3(OH)5)","Ca B Si O H"
"Bakhchisaraitsevite","Bakhchisaraitsevite","Na2Mg5(PO4)4·7H2O","Na Mg P O H"
"Baksanite","Baksanite","Bi6Te2S3","Bi Te S"
"Balangeroite","Balangeroite","Mg21Si8O27(OH)20","Mg Si O H"
"Balestraite","Balestraite","KLi2V5+Si4O12","K Li V Si O"
"Balićžunićite","Baliczunicite","Bi2O(SO4)2","Bi O S"
"Balipholite","Balipholite","LiBaMg2Al3(Si2O6)2(OH)8","Li Ba Mg Al Si O H"
"Balkanite","Balkanite","Ag5Cu9HgS8","Ag Cu Hg S"
"Balliranoite","Balliranoite","(Na,K)6Ca2(Si6Al6O24)Cl2(CO3)","Na K Ca Si Al O Cl C"
"Balyakinite","Balyakinite","Cu2+(Te4+O3)","Cu Te O"
"Bambollaite","Bambollaite","Cu(Se,Te)2","Cu Se Te"
"Bamfordite","Bamfordite","Fe3+Mo2O6(OH)3·H2O","Fe Mo O H"
"Banalsite","Banalsite","Na2BaAl4Si4O16","Na Ba Al Si O"
"Bandylite","Bandylite","CuB(OH)4Cl","Cu B O H Cl"
"Bannermanite","Bannermanite","(Na,K)xV4+xV5+6-xO15 (0.5<x<0.9)","Na K V O"
"Bannisterite","Bannisterite","(Ca,K,Na)(Mn2+,Fe2+)10(Si,Al)16O38(OH)8·nH2O","Ca K Na Mn Fe Si Al O H"
"Baotite","Baotite","Ba4(Ti,Nb,W)8O16(SiO3)4Cl","Ba Ti Nb W O Si Cl"
"Barahonaite-(Al)","Barahonaite-(Al)","(Ca,Cu,Na,Fe3+,Al)12Al2(AsO4)8(OH,Cl)x·nH2O","Ca Cu Na Fe Al As O H Cl"
"Barahonaite-(Fe)","Barahonaite-(Fe)","(Ca,Cu,Na,Fe3+,Al)12Fe3+2(AsO4)8(OH,Cl)x·nH2O","Ca Cu Na Fe Al As O H Cl"
"Bararite","Bararite","(NH4)2SiF6","N H Si F"
"Baratovite","Baratovite","KLi3Ca7Ti2(SiO3)12F2","K Li Ca Ti Si O F"
"Barberiite","Barberiite","(NH4)BF4","N H B F"
"Barbertonite","Barbertonite","Mg6Cr2(CO3)(OH)16·4H2O","Mg Cr C O H"
"Barbosalite","Barbosalite","Fe2+Fe3+2(PO4)2(OH)2","Fe P O H"
"Barentsite","Barentsite","Na7Al(HCO3)2(CO3)2F4","Na Al H C O F"
"Bariandite","Bariandite","Al0.6(V5+,V4+)8O20·9H2O","Al V O H"
"Barićite","Baricite","(Mg,Fe)3(PO4)2·8H2O","Mg Fe P O H"
"Barikaite","Barikaite","Ag3Pb10(Sb8As11)Σ19S40","Ag Pb Sb As S"
"Barioferrite","Barioferrite","BaFe3+12O19","Ba Fe O"
"Bariomicrolite","Bariomicrolite","(Ba, [box])2Ta2(O,OH)7","Ba Ta O H"
"Bario-olgite","Bario-olgite","Na(Na,Sr,Ce)2Ba(PO4)2","Na Sr Ce Ba P O"
"Bario-orthojoaquinite","Bario-orthojoaquinite","Ba4Fe2+2Ti2O2(SiO3)8·H2O","Ba Fe Ti O Si H"
"Barioperovskite","Barioperovskite","BaTiO3","Ba Ti O"
"Bariopharmacoalumite","Bariopharmacoalumite","Ba0.5Al4[(AsO4)3(OH)4]·4H2O","Ba Al As O H"
"Bariopharmacosiderite","Bariopharmacosiderite","Ba0.5Fe3+4(AsO4)3(OH)4·5H2O","Ba Fe As O H"
"Bariopyrochlore","Bariopyrochlore","Ba2Nb2O7","Ba Nb O"
"Bariosincosite","Bariosincosite","Ba(VO)2(PO4)2·4H2O","Ba V O P H"
"Barium-zinc alumopharmocosiderite","Barium-zinc alumopharmocosiderite","(Ba,K)0.5(Zn,Cu)0.5(Al,Fe)4(AsO4)3·5H2O","Ba K Zn Cu Al Fe As O H"
"Barlowite","Barlowite","Cu4BrF(OH)6","Cu Br F O H"
"Barnesite","Barnesite","Na2V5+6O16·3H2O","Na V O H"
"Barquillite","Barquillite","Cu2(Cd,Fe)GeS4","Cu Cd Fe Ge S"
"Barrerite","Barrerite","Na2(Si7Al2)O18·6H2O","Na Si Al O H"
"Barringerite","Barringerite","(Fe,Ni)2P","Fe Ni P"
"Barringtonite","Barringtonite","MgCO3·2H2O","Mg C O H"
"Barroisite","Barroisite","[box](NaCa)(Mg3Al2)(Si7Al)O22(OH)2","Na Ca Mg Al Si O H"
"Barrotite","Barrotite","Cu9Al(HSiO4)2[(SO4)(HAsO4)0.5](OH)12·8H2O","Cu Al H Si O S As"
"Barrydawsonite-(Y)","Barrydawsonite-(Y)","Na1.5Y0.5CaSi3O9H","Na Y Ca Si O H"
"Barstowite","Barstowite","Pb4(CO3)Cl6·H2O","Pb C O Cl H"
"Bartelkeite","Bartelkeite","PbFe2+Ge(Ge2O7)(OH)2·H2O","Pb Fe Ge O H"
"Bartonite","Bartonite","K6Fe20S26S","K Fe S"
"Barwoodite","Barwoodite","Mn2+6(Nb5+,[box])2(SiO4)2(O,OH)6","Mn Nb Si O H"
"Barylite","Barylite","BaBe2Si2O7","Ba Be Si O"
"Barysilite","Barysilite","Pb8Mn(Si2O7)3","Pb Mn Si O"
"Baryte","Baryte","Ba(SO4)","Ba S O"
"Barytocalcite","Barytocalcite","BaCa(CO3)2","Ba Ca C O"
"Barytolamprophyllite","Barytolamprophyllite","(BaK)Ti2Na3Ti(Si2O7)2O2(OH)2","Ba K Ti Na Si O H"
"Bassanite","Bassanite","Ca(SO4)·0.5H2O","Ca S O H"
"Bassetite","Bassetite","Fe2+(UO2)2(PO4)2(H2O)10","Fe U O P H"
"Bassoite","Bassoite","SrV4+3O7·4H2O","Sr V O H"
"Bastnäsite-(Ce)","Bastnasite-(Ce)","Ce(CO3)F","Ce C O F"
"Bastnäsite-(La)","Bastnasite-(La)","La(CO3)F","La C O F"
"Bastnäsite-(Nd)","Bastnasite-(Nd)","Nd(CO3)F","Nd C O F"
"Bastnäsite-(Y)","Bastnasite-(Y)","Y(CO3)F","Y C O F"
"Batagayite","Batagayite","CaZn2(Zn,Cu)6(PO4)4[PO3(OH)]3·12H2O","Ca Zn Cu P O H"
"Batievaite-(Y)","Batievaite-(Y)","Ca2Y2[(H2O)2[box]]Ti(Si2O7)2(OH)2(H2O)2","Ca Y H O Ti Si"
"Batiferrite","Batiferrite","BaTi2Fe3+8Fe2+2O19","Ba Ti Fe O"
"Batisite","Batisite","Na2BaTi2O2(Si2O6)2","Na Ba Ti O Si"
"Batisivite","Batisivite","BaTi6(V,Cr)8(Si2O7)O22","Ba Ti V Cr Si O"
"Baumhauerite","Baumhauerite","Pb12As16S36","Pb As S"
"Baumhauerite II","Baumhauerite II","Pb3As4S9","Pb As S"
"Baumoite","Baumoite","Ba0.5[(UO2)3O8Mo2(OH)3](H2O)3","Ba U O Mo H"
"Baumstarkite","Baumstarkite","Ag3Sb3S6","Ag Sb S"
"Bauranoite","Bauranoite","BaU2O7·4-5H2O","Ba U O H"
"Bavenite","Bavenite","Ca4Be2+xAl2-xSi9O26-x(OH)2+x (x = 0 to 1)","Ca Be Al Si O H"
"Bavsiite","Bavsiite","Ba2V2O2[Si4O12]","Ba V O Si"
"Bayerite","Bayerite","Al(OH)3","Al O H"
"Bayldonite","Bayldonite","Cu3PbO(AsO3OH)2(OH)2","Cu Pb O As H"
"Bayleyite","Bayleyite","Mg2(UO2)(CO3)3·18H2O","Mg U O C H"
"Baylissite","Baylissite","K2Mg(CO3)2·4H2O","K Mg C O H"
"Bazhenovite","Bazhenovite","Ca8S5(S2O3)(OH)12·20H2O","Ca S O H"
"Bazirite","Bazirite","BaZrSi3O9","Ba Zr Si O"
"Bazzite","Bazzite","Be3(Sc,Fe3+,Mg)2Si6O18·Na0.32·nH2O","Be Sc Fe Mg Si O Na H"
"Bearsite","Bearsite","Be2(AsO4)(OH)·4H2O","Be As O H"
"Bearthite","Bearthite","Ca2Al(PO4)2(OH)","Ca Al P O H"
"Beaverite-(Cu)","Beaverite-(Cu)","Pb(Fe3+2Cu)(SO4)2(OH)6","Pb Fe Cu S O H"
"Beaverite-(Zn)","Beaverite-(Zn)","Pb(Fe3+2Zn)(SO4)2(OH)6","Pb Fe Zn S O H"
"Bechererite","Bechererite","Zn7Cu(OH)13[SiO(OH)3(SO4)]","Zn Cu O H Si S"
"Beckettite","Beckettite","Ca2V6Al6O20","Ca V Al O"
"Becquerelite","Becquerelite","Ca(UO2)6O4(OH)6·8H2O","Ca U O H"
"Bederite","Bederite","Ca2Mn2+4Fe3+2(PO4)6·2H2O","Ca Mn Fe P O H"
"Beershevaite","Beershevaite","CaFe3+3(PO4)3O","Ca Fe P O"
"Béhierite","Behierite","Ta(BO4)","Ta B O"
"Behoite","Behoite","Be(OH)2","Be O H"
"Běhounekite","Behounekite","U(SO4)2(H2O)4","U S O H"
"Beidellite","Beidellite","(Na,Ca)0.3Al2(Si,Al)4O10(OH)2·nH2O","Na Ca Al Si O H"
"Belakovskiite","Belakovskiite","Na7(UO2)(SO4)4(SO3OH)(H2O)3","Na U O S H"
"Belendorffite","Belendorffite","Cu7Hg6","Cu Hg"
"Belkovite","Belkovite","Ba3Nb6(Si2O7)2O12","Ba Nb Si O"
"Bellbergite","Bellbergite","(K,Ba,Sr)2Sr2Ca2(Ca,Na)4(Si,Al)36O72·30H2O","K Ba Sr Ca Na Si Al O H"
"Bellidoite","Bellidoite","Cu2Se","Cu Se"
"Bellingerite","Bellingerite","Cu3(IO3)6·2H2O","Cu I O H"
"Belloite","Belloite","Cu(OH)Cl","Cu O H Cl"
"Belogubite","Belogubite","CuZn(SO4)2·10H2O","Cu Zn S O H"
"Belomarinaite","Belomarinaite","KNa(SO4)","K Na S O"
"Belousovite","Belousovite","KZn(SO4)Cl","K Zn S O Cl"
"Belovite-(Ce)","Belovite-(Ce)","NaCeSr3(PO4)3F","Na Ce Sr P O F"
"Belovite-(La)","Belovite-(La)","NaLaSr3(PO4)3F","Na La Sr P O F"
"Belyankinite","Belyankinite","Ca1-2(Ti,Zr,Nb)5O12·9H2O (?)","Ca Ti Zr Nb O H"
"Bementite","Bementite","Mn7Si6O15(OH)8","Mn Si O H"
"Benauite","Benauite","SrFe3+3(PO4)(PO3OH)(OH)6","Sr Fe P O H"
"Benavidesite","Benavidesite","Pb4MnSb6S14","Pb Mn Sb S"
"Bendadaite","Bendadaite","Fe2+Fe3+2(AsO4)2(OH)2·4H2O","Fe As O H"
"Benitoite","Benitoite","BaTiSi3O9","Ba Ti Si O"
"Benjaminite","Benjaminite","Ag3Bi7S12","Ag Bi S"
"Benleonardite","Benleonardite","Ag15Cu(Sb,As)2S7Te4","Ag Cu Sb As S Te"
"Bennesherite","Bennesherite","Ba2Fe2+Si2O7","Ba Fe Si O"
"Benstonite","Benstonite","Ba6Ca6Mg(CO3)13","Ba Ca Mg C O"
"Bentorite","Bentorite","Ca6Cr2(SO4)3(OH)12·26H2O","Ca Cr S O H"
"Benyacarite","Benyacarite","KTiMn2+2Fe3+2(PO4)4OF·15H2O","K Ti Mn Fe P O F H"
"Beraunite","Beraunite","Fe3+6(PO4)4O(OH)4·6H2O","Fe P O H"
"Berborite","Berborite","Be2(BO3)(OH)·H2O","Be B O H"
"Berdesinskiite","Berdesinskiite","V3+2TiO5","V Ti O"
"Berezanskite","Berezanskite","KTi2Li3Si12O30","K Ti Li Si O"
"Bergenite","Bergenite","Ca2Ba4(UO2)9O6(PO4)6·16H2O","Ca Ba U O P H"
"Bergslagite","Bergslagite","CaBe(AsO4)(OH)","Ca Be As O H"
"Berlinite","Berlinite","Al(PO4)","Al P O"
"Bermanite","Bermanite","Mn2+Mn3+2(PO4)2(OH)2·4H2O","Mn P O H"
"Bernalite","Bernalite","Fe(OH)3","Fe O H"
"Bernardite","Bernardite","TlAs5S8","Tl As S"
"Bernarlottiite","Bernarlottiite","Pb12(As10Sb6)S36","Pb As Sb S"
"Berndtite","Berndtite","SnS2","Sn S"
"Berryite","Berryite","Cu3Ag2Pb3Bi7S16","Cu Ag Pb Bi S"
"Berthierine","Berthierine","(Fe2+,Fe3+,Al)3(Si,Al)2O5(OH)4","Fe Al Si O H"
"Berthierite","Berthierite","FeSb2S4","Fe Sb S"
"Bertossaite","Bertossaite","Li2CaAl4(PO4)4(OH)4","Li Ca Al P O H"
"Bertrandite","Bertrandite","Be4Si2O7(OH)2","Be Si O H"
"Beryl","Beryl","Be3Al2Si6O18","Be Al Si O"
"Beryllite","Beryllite","Be3(SiO4)(OH)2·H2O","Be Si O H"
"Beryllonite","Beryllonite","NaBe(PO4)","Na Be P O"
"Berzelianite","Berzelianite","Cu2-xSe (x ≈ 0.12)","Cu Se"
"Berzeliite","Berzeliite","(NaCa2)Mg2(AsO4)3","Na Ca Mg As O"
"Beshtauite","Beshtauite","(NH4)2(UO2)(SO4)2·2H2O","N H U O S"
"Beta - iridisite","Beta - iridisite","Ir0.75S2","Ir S"
"Betalomonosovite","Betalomonosovite","Na5+xTi4(Si2O7)2[PO3(OH)]2-y[PO2(OH)2]yO2[(OH,F)2-xOz], [0<x<2, 0<y<1, 0<z<1]","Na Ti Si O P H F"
"Betekhtinite","Betekhtinite","(Cu,Fe)21Pb2S15","Cu Fe Pb S"
"Betpakdalite-CaCa","Betpakdalite-CaCa","[Ca2(H2O)17Ca(H2O)6][Mo6+8As5+2Fe3+3O36(OH)]","Ca H O Mo As Fe"
"Betpakdalite-CaMg","Betpakdalite-CaMg","[Ca2(H2O)17Mg(H2O)6][Mo6+8As5+2Fe3+3O36(OH)]","Ca H O Mg Mo As Fe"
"Betpakdalite-FeFe","Betpakdalite-FeFe","[Fe3+2(H2O)15(OH)2Fe3+(H2O)6][Mo8As2Fe3+3O37]","Fe H O Mo As"
"Betpakdalite-NaCa","Betpakdalite-NaCa","[Na2(H2O)17Ca(H2O)6][Mo6+8As5+2Fe3+3O34(OH)3]","Na H O Ca Mo As Fe"
"Betpakdalite-NaNa","Betpakdalite-NaNa","[Na2(H2O)16Na(H2O)6][Mo6+8As5+2Fe3+3O33(OH)4]","Na H O Mo As Fe"
"Bettertonite","Bettertonite","Al6(AsO4)3(OH)9(H2O)5·11H2O","Al As O H"
"Betzite","Betzite","Na6Ca2(Al6Si6O24)Cl4","Na Ca Al Si O Cl"
"Beudantite","Beudantite","PbFe3+3(AsO4)(SO4)(OH)6","Pb Fe As O S H"
"Beusite","Beusite","Mn2+Mn2+2(PO4)2","Mn P O"
"Beusite-(Ca)","Beusite-(Ca)","CaMn2+2(PO4)2","Ca Mn P O"
"Beyerite","Beyerite","CaBi2O2(CO3)2","Ca Bi O C"
"Bezsmertnovite","Bezsmertnovite","(Au,Ag)4Cu(Te,Pb)","Au Ag Cu Te Pb"
"Biachellaite","Biachellaite","(Na,Ca,K)8(Si6Al6O24)(SO4)2(OH)0.5·H2O","Na Ca K Si Al O S H"
"Biagioniite","Biagioniite","Tl2SbS2","Tl Sb S"
"Bianchiniite","Bianchiniite","Ba2(TiV)(As2O5)2OF","Ba Ti V As O F"
"Bianchite","Bianchite","Zn(SO4)·6H2O","Zn S O H"
"Bicapite","Bicapite","[KNa2Mg2(H2O)25][H2PV5+12O40(V5+O)2]","K Na Mg H O P V"
"Bicchulite","Bicchulite","Ca2Al2SiO6(OH)2","Ca Al Si O H"
"Bideauxite","Bideauxite","AgPb2F2Cl3","Ag Pb F Cl"
"Bieberite","Bieberite","Co(SO4)·7H2O","Co S O H"
"Biehlite","Biehlite","Sb3+2MoO6","Sb Mo O"
"Bigcreekite","Bigcreekite","BaSi2O5·4H2O","Ba Si O H"
"Bijvoetite-(Y)","Bijvoetite-(Y)","Y8(UO2)16O8(CO3)16(OH)8·39H2O","Y U O C H"
"Bikitaite","Bikitaite","LiAlSi2O6·H2O","Li Al Si O H"
"Bilibinskite","Bilibinskite","PbAu3Cu2Te2","Pb Au Cu Te"
