Mineral Name,Mineral Name (plain),IMA Chemistry (concise),Chemistry Elements,URL
Georgechaoite,Georgechaoite,KNaZrSi_3_O_9_·2H_2_O,K Na Zr Si O H,https://www.mindat.org/search.php?search=Georgechaoite
George-ericksenite,George-ericksenite,Na_6_CaMg(IO_3_)_6_(CrO_4_)_2_·12H_2_O,Na Ca Mg I O Cr H,https://www.mindat.org/search.php?search=George-ericksenite
Georgeite,Georgeite,Cu_2_(CO_3_)(OH)_2_,Cu C O H,https://www.mindat.org/search.php?search=Georgeite
Georgerobinsonite,Georgerobinsonite,Pb_4_(CrO_4_)_2_(OH)_2_FCl,Pb Cr O H F Cl,https://www.mindat.org/search.php?search=Georgerobinsonite
Georgiadesite,Georgiadesite,Pb_4_(As^3+^O_3_)Cl_4_(OH),Pb As O Cl H,https://www.mindat.org/search.php?search=Georgiadesite
Gerasimovskite,Gerasimovskite,"Mn^2+^(Ti,Nb)_5_O_12_·9H_2_O (?)",Mn Ti Nb O H,https://www.mindat.org/search.php?search=Gerasimovskite
Gerdtremmelite,Gerdtremmelite,ZnAl_2_(AsO_4_)(OH)_5_,Zn Al As O H,https://www.mindat.org/search.php?search=Gerdtremmelite
Gerenite-(Y),Gerenite-(Y),"(Ca,Na,[box])_2_Y_3_Si_6_O_18_·2H_2_O",Ca Na Y Si O H,https://www.mindat.org/search.php?search=Gerenite-(Y)
Gerhardtite,Gerhardtite,Cu_2_(NO_3_)(OH)_3_,Cu N O H,https://www.mindat.org/search.php?search=Gerhardtite
Germanite,Germanite,Cu_13_Fe_2_Ge_2_S_16_,Cu Fe Ge S,https://www.mindat.org/search.php?search=Germanite
Germanocolusite,Germanocolusite,Cu_13_VGe_3_S_16_,Cu V Ge S,https://www.mindat.org/search.php?search=Germanocolusite
Gersdorffite-P2<sub>1</sub>3,Gersdorffite-P213,NiAsS,Ni As S,https://www.mindat.org/search.php?search=Gersdorffite-P213
Gersdorffite-Pa3,Gersdorffite-Pa3,NiAsS,Ni As S,https://www.mindat.org/search.php?search=Gersdorffite-Pa3
Gersdorffite-Pca2<sub>1</sub>,Gersdorffite-Pca21,NiAsS,Ni As S,https://www.mindat.org/search.php?search=Gersdorffite-Pca21
Gerstleyite,Gerstleyite,"Na_2_(Sb,As)_8_S_13_·2H_2_O",Na Sb As S H O,https://www.mindat.org/search.php?search=Gerstleyite
Gerstmannite,Gerstmannite,Mn^2+^MgZn(SiO_4_)(OH)_2_,Mn Mg Zn Si O H,https://www.mindat.org/search.php?search=Gerstmannite
Geschieberite,Geschieberite,K_2_(UO_2_)(SO_4_)_2_·2H_2_O,K U O S H,https://www.mindat.org/search.php?search=Geschieberite
Getchellite,Getchellite,SbAsS_3_,Sb As S,https://www.mindat.org/search.php?search=Getchellite
Geversite,Geversite,PtSb_2_,Pt Sb,https://www.mindat.org/search.php?search=Geversite
Ghiaraite,Ghiaraite,CaCl_2_·4H_2_O,Ca Cl H O,https://www.mindat.org/search.php?search=Ghiaraite
Giacovazzoite,Giacovazzoite,K_5_Fe^3+^_3_O(SO_4_)_6_·10H_2_O,K Fe O S H,https://www.mindat.org/search.php?search=Giacovazzoite
Gianellaite,Gianellaite,(Hg_2_N)_2_(SO_4_)(H_2_O)_x_,Hg N S O H,https://www.mindat.org/search.php?search=Gianellaite
Gibbsite,Gibbsite,Al(OH)_3_,Al O H,https://www.mindat.org/search.php?search=Gibbsite
Giessenite,Giessenite,"(Cu,Fe)_2_Pb_26.4_(Bi,Sb)_19.6_S_57_",Cu Fe Pb Bi Sb S,https://www.mindat.org/search.php?search=Giessenite
Giftgrubeite,Giftgrubeite,CaMn_2_Ca_2_(AsO_4_)_2_(AsO_3_OH)_2_·4H_2_O,Ca Mn As O H,https://www.mindat.org/search.php?search=Giftgrubeite
Gilalite,Gilalite,Cu_5_Si_6_O_17_·7H_2_O,Cu Si O H,https://www.mindat.org/search.php?search=Gilalite
Gillardite,Gillardite,Cu_3_NiCl_2_(OH)_6_,Cu Ni Cl O H,https://www.mindat.org/search.php?search=Gillardite
Gillespite,Gillespite,BaFe^2+^Si_4_O_10_,Ba Fe Si O,https://www.mindat.org/search.php?search=Gillespite
Gillulyite,Gillulyite,Tl_2_As_7.5_Sb_0.3_S_13_,Tl As Sb S,https://www.mindat.org/search.php?search=Gillulyite
Gilmarite,Gilmarite,Cu^2+^_3_(AsO_4_)(OH)_3_,Cu As O H,https://www.mindat.org/search.php?search=Gilmarite
Giniite,Giniite,Fe^2+^Fe^3+^_4_(PO_4_)_4_(OH)_2_·2H_2_O,Fe P O H,https://www.mindat.org/search.php?search=Giniite
Ginorite,Ginorite,Ca_2_B_14_O_20_(OH)_6_·5H_2_O,Ca B O H,https://www.mindat.org/search.php?search=Ginorite
Giorgiosite,Giorgiosite,Mg_5_(CO_3_)_4_(OH)_2_·5H_2_O,Mg C O H,https://www.mindat.org/search.php?search=Giorgiosite
Giraudite-(Zn),Giraudite-(Zn),Cu_6_(Cu_4_Zn_2_)As_4_Se_13_,Cu Zn As Se,https://www.mindat.org/search.php?search=Giraudite-(Zn)
Girvasite,Girvasite,NaCa_2_Mg_3_(PO_4_)_3_(CO_3_)(H_2_O)_6_,Na Ca Mg P O C H,https://www.mindat.org/search.php?search=Girvasite
Gismondine-Ca,Gismondine-Ca,Ca_2_(Si_4_Al_4_)O_16_·8H_2_O,Ca Si Al O H,https://www.mindat.org/search.php?search=Gismondine-Ca
Gismondine-Sr,Gismondine-Sr,Sr_4_(Si_8_Al_8_O_32_)·9H_2_O,Sr Si Al O H,https://www.mindat.org/search.php?search=Gismondine-Sr
Gittinsite,Gittinsite,CaZrSi_2_O_7_,Ca Zr Si O,https://www.mindat.org/search.php?search=Gittinsite
Giuseppettite,Giuseppettite,Na_42_K_16_Ca_6_Si_48_Al_48_O_192_(SO_4_)_10_Cl_2_·5H_2_O,Na K Ca Si Al O S Cl H,https://www.mindat.org/search.php?search=Giuseppettite
Gjerdingenite-Ca,Gjerdingenite-Ca,"K_2_Ca(Nb,Ti)_4_(Si_4_O_12_)_2_(O,OH)_4_·6H_2_O",K Ca Nb Ti Si O H,https://www.mindat.org/search.php?search=Gjerdingenite-Ca
Gjerdingenite-Fe,Gjerdingenite-Fe,"K_2_Fe(Nb,Ti)_4_(Si_4_O_12_)_2_(O,OH)_4_·6H_2_O",K Fe Nb Ti Si O H,https://www.mindat.org/search.php?search=Gjerdingenite-Fe
Gjerdingenite-Mn,Gjerdingenite-Mn,"K_2_Mn(Nb,Ti)_4_(Si_4_O_12_)_2_(O,OH)_4_·6H_2_O",K Mn Nb Ti Si O H,https://www.mindat.org/search.php?search=Gjerdingenite-Mn
Gjerdingenite-Na,Gjerdingenite-Na,"K_2_Na(Nb,Ti)_4_(Si_4_O_12_)_2_(OH,O)_4_·5H_2_O",K Na Nb Ti Si O H,https://www.mindat.org/search.php?search=Gjerdingenite-Na
Gladite,Gladite,CuPbBi_5_S_9_,Cu Pb Bi S,https://www.mindat.org/search.php?search=Gladite
Gladiusite,Gladiusite,Fe^3+^_2_Fe^2+^_4_(PO_4_)(OH)_11_·H_2_O,Fe P O H,https://www.mindat.org/search.php?search=Gladiusite
Gladkovskyite,Gladkovskyite,MnTlAs_3_S_6_,Mn Tl As S,https://www.mindat.org/search.php?search=Gladkovskyite
Glagolevite,Glagolevite,"Na(Mg,Al)_6_(Si_3_Al)O_10_(OH,O)_8_",Na Mg Al Si O H,https://www.mindat.org/search.php?search=Glagolevite
Glauberite,Glauberite,Na_2_Ca(SO_4_)_2_,Na Ca S O,https://www.mindat.org/search.php?search=Glauberite
Glaucocerinite,Glaucocerinite,"(Zn_1-x_Al_x_)(SO_4_)_x/2_(OH)_2_·nH_2_O (x < 0.5, n > 3x/2)",Zn Al S O H,https://www.mindat.org/search.php?search=Glaucocerinite
Glaucochroite,Glaucochroite,CaMn^2+^(SiO_4_),Ca Mn Si O,https://www.mindat.org/search.php?search=Glaucochroite
Glaucodot,Glaucodot,(Co_0.5_Fe_0.5_)AsS,Co Fe As S,https://www.mindat.org/search.php?search=Glaucodot
Glaucophane,Glaucophane,[box]Na_2_(Mg_3_Al_2_)Si_8_O_22_(OH)_2_,Na Mg Al Si O H,https://www.mindat.org/search.php?search=Glaucophane
Glaukosphaerite,Glaukosphaerite,CuNi(CO_3_)(OH)_2_,Cu Ni C O H,https://www.mindat.org/search.php?search=Glaukosphaerite
Glikinite,Glikinite,Zn_3_O(SO_4_)_2_,Zn O S,https://www.mindat.org/search.php?search=Glikinite
Glucine,Glucine,CaBe_4_(PO_4_)_2_(OH)_4_·0.5H_2_O,Ca Be P O H,https://www.mindat.org/search.php?search=Glucine
Glushinskite,Glushinskite,Mg(C_2_O_4_)·2H_2_O,Mg C O H,https://www.mindat.org/search.php?search=Glushinskite
Gmalimite,Gmalimite,K_6_[box]Fe^2+^_24_S_27_,K Fe S,https://www.mindat.org/search.php?search=Gmalimite
Gmelinite-Ca,Gmelinite-Ca,Ca_2_(Si_8_Al_4_)O_24_·11H_2_O,Ca Si Al O H,https://www.mindat.org/search.php?search=Gmelinite-Ca
Gmelinite-K,Gmelinite-K,K_4_(Si_8_Al_4_)O_24_·11H_2_O,K Si Al O H,https://www.mindat.org/search.php?search=Gmelinite-K
Gmelinite-Na,Gmelinite-Na,Na_4_(Si_8_Al_4_)O_24_·11H_2_O,Na Si Al O H,https://www.mindat.org/search.php?search=Gmelinite-Na
Gobbinsite,Gobbinsite,Na_5_(Si_11_Al_5_)O_32_·11H_2_O,Na Si Al O H,https://www.mindat.org/search.php?search=Gobbinsite
Gobelinite,Gobelinite,CoCu_4_(SO_4_)_2_(OH)_6_·6H_2_O,Co Cu S O H,https://www.mindat.org/search.php?search=Gobelinite
Godlevskite,Godlevskite,"(Ni,Fe)_9_S_8_",Ni Fe S,https://www.mindat.org/search.php?search=Godlevskite
Godovikovite,Godovikovite,(NH_4_)Al(SO_4_)_2_,N H Al S O,https://www.mindat.org/search.php?search=Godovikovite
Goedkenite,Goedkenite,Sr_2_Al(PO_4_)_2_(OH),Sr Al P O H,https://www.mindat.org/search.php?search=Goedkenite
Goethite,Goethite,FeO(OH),Fe O H,https://www.mindat.org/search.php?search=Goethite
Gold,Gold,Au,Au,https://www.mindat.org/search.php?search=Gold
Goldfieldite,Goldfieldite,(Cu_4_[box]_2_)Cu_6_Te_4_S_13_,Cu Te S,https://www.mindat.org/search.php?search=Goldfieldite
Goldhillite,Goldhillite,Cu_5_Zn(AsO_4_)_2_(OH)_6_·H_2_O,Cu Zn As O H,https://www.mindat.org/search.php?search=Goldhillite
Goldichite,Goldichite,KFe^3+^(SO_4_)_2_·4H_2_O,K Fe S O H,https://www.mindat.org/search.php?search=Goldichite
Goldmanite,Goldmanite,Ca_3_V^3+^_2_(SiO_4_)_3_,Ca V Si O,https://www.mindat.org/search.php?search=Goldmanite
Goldquarryite,Goldquarryite,CuCd_2_Al_3_(PO_4_)_4_F_3_·10H_2_O,Cu Cd Al P O F H,https://www.mindat.org/search.php?search=Goldquarryite
Goldschmidtite,Goldschmidtite,KNbO_3_,K Nb O,https://www.mindat.org/search.php?search=Goldschmidtite
Golyshevite,Golyshevite,Na_10_Ca_9_Zr_3_Fe_2_SiNb(Si_3_O_9_)_2_(Si_9_O_27_)_2_(OH)_3_(CO_3_)·H_2_O,Na Ca Zr Fe Si Nb O H C,https://www.mindat.org/search.php?search=Golyshevite
Gonnardite,Gonnardite,"(Na,Ca)_2_(Si,Al)_5_O_10_·3H_2_O",Na Ca Si Al O H,https://www.mindat.org/search.php?search=Gonnardite
Gonyerite,Gonyerite,Mn^2+^_5_Fe^3+^(Si_3_Fe^3+^O_10_)(OH)_8_,Mn Fe Si O H,https://www.mindat.org/search.php?search=Gonyerite
Goosecreekite,Goosecreekite,Ca(Si_6_Al_2_)O_16_·5H_2_O,Ca Si Al O H,https://www.mindat.org/search.php?search=Goosecreekite
Gorbunovite,Gorbunovite,"CsLi_2_(Ti,Fe)Si_4_O_10_(F,OH,O)_2_",Cs Li Ti Fe Si O F H,https://www.mindat.org/search.php?search=Gorbunovite
Gorceixite,Gorceixite,BaAl_3_(PO_4_)(PO_3_OH)(OH)_6_,Ba Al P O H,https://www.mindat.org/search.php?search=Gorceixite
Gordaite,Gordaite,NaZn_4_(SO_4_)(OH)_6_Cl·6H_2_O,Na Zn S O H Cl,https://www.mindat.org/search.php?search=Gordaite
Gordonite,Gordonite,MgAl_2_(PO_4_)_2_(OH)_2_·8H_2_O,Mg Al P O H,https://www.mindat.org/search.php?search=Gordonite
Gorerite,Gorerite,CaAlFe^3+^_11_O_19_,Ca Al Fe O,https://www.mindat.org/search.php?search=Gorerite
Görgeyite,Gorgeyite,K_2_Ca_5_(SO_4_)_6_·H_2_O,K Ca S O H,https://www.mindat.org/search.php?search=Gorgeyite
Gormanite,Gormanite,Fe^2+^_3_Al_4_(PO_4_)_4_(OH)_6_·2H_2_O,Fe Al P O H,https://www.mindat.org/search.php?search=Gormanite
Gortdrumite,Gortdrumite,Cu_24_Fe_2_Hg_9_S_23_,Cu Fe Hg S,https://www.mindat.org/search.php?search=Gortdrumite
Goryainovite,Goryainovite,Ca_2_(PO_4_)Cl,Ca P O Cl,https://www.mindat.org/search.php?search=Goryainovite
Goslarite,Goslarite,Zn(SO_4_)·7H_2_O,Zn S O H,https://www.mindat.org/search.php?search=Goslarite
Gottardiite,Gottardiite,Na_3_Mg_3_Ca_5_Al_19_Si_117_O_272_·93H_2_O,Na Mg Ca Al Si O H,https://www.mindat.org/search.php?search=Gottardiite
Gottlobite,Gottlobite,CaMg(VO_4_)(OH),Ca Mg V O H,https://www.mindat.org/search.php?search=Gottlobite
Götzenite,Gotzenite,Ca_4_NaCa_2_Ti(Si_2_O_7_)_2_(OF)F_2_,Ca Na Ti Si O F,https://www.mindat.org/search.php?search=Gotzenite
Goudeyite,Goudeyite,Cu_6_Al(AsO_4_)_3_(OH)_6_·3H_2_O,Cu Al As O H,https://www.mindat.org/search.php?search=Goudeyite
Gowerite,Gowerite,Ca[B_5_O_8_(OH)][B(OH)_3_]·3H_2_O,Ca B O H,https://www.mindat.org/search.php?search=Gowerite
Goyazite,Goyazite,SrAl_3_(PO_4_)(PO_3_OH)(OH)_6_,Sr Al P O H,https://www.mindat.org/search.php?search=Goyazite
Graemite,Graemite,Cu^2+^(Te^4+^O_3_)·H_2_O,Cu Te O H,https://www.mindat.org/search.php?search=Graemite
Graeserite,Graeserite,Fe^3+^_4_Ti_3_As^3+^O_13_(OH),Fe Ti As O H,https://www.mindat.org/search.php?search=Graeserite
Graftonite,Graftonite,Fe^2+^Fe^2+^_2_(PO_4_)_2_,Fe P O,https://www.mindat.org/search.php?search=Graftonite
Graftonite-(Ca),Graftonite-(Ca),CaFe^2+^_2_(PO_4_)_2_,Ca Fe P O,https://www.mindat.org/search.php?search=Graftonite-(Ca)
Graftonite-(Mn),Graftonite-(Mn),MnFe^2+^_2_(PO_4_)_2_,Mn Fe P O,https://www.mindat.org/search.php?search=Graftonite-(Mn)
Gramaccioliite-(Y),Gramaccioliite-(Y),"(Pb,Sr)(Y,Mn)Fe^3+^_2_(Ti,Fe^3+^)_18_O_38_",Pb Sr Y Mn Fe Ti O,https://www.mindat.org/search.php?search=Gramaccioliite-(Y)
Grammatikopoulosite,Grammatikopoulosite,NiVP,Ni V P,https://www.mindat.org/search.php?search=Grammatikopoulosite
Grandaite,Grandaite,Sr_2_Al(AsO_4_)_2_(OH),Sr Al As O H,https://www.mindat.org/search.php?search=Grandaite
Grandidierite,Grandidierite,MgAl_3_O_2_(BO_3_)(SiO_4_),Mg Al O B Si,https://www.mindat.org/search.php?search=Grandidierite
Grandreefite,Grandreefite,Pb_2_(SO_4_)F_2_,Pb S O F,https://www.mindat.org/search.php?search=Grandreefite
Grandviewite,Grandviewite,Cu_3_Al_2_(SO_4_)(OH)_10_·H_2_O,Cu Al S O H,https://www.mindat.org/search.php?search=Grandviewite
Grantsite,Grantsite,"(Na,Ca)_2+x_(V^5+^,V^4+^)_6_O_16_·4H_2_O",Na Ca V O H,https://www.mindat.org/search.php?search=Grantsite
Graphite,Graphite,C,C,https://www.mindat.org/search.php?search=Graphite
Graţianite,Gratianite,MnBi_2_S_4_,Mn Bi S,https://www.mindat.org/search.php?search=Gratianite
Gratonite,Gratonite,Pb_9_As_4_S_15_,Pb As S,https://www.mindat.org/search.php?search=Gratonite
Grattarolaite,Grattarolaite,Fe^3+^_3_O_3_(PO_4_),Fe O P,https://www.mindat.org/search.php?search=Grattarolaite
Graulichite-(Ce),Graulichite-(Ce),CeFe^3+^_3_(AsO_4_)_2_(OH)_6_,Ce Fe As O H,https://www.mindat.org/search.php?search=Graulichite-(Ce)
Graulichite-(La),Graulichite-(La),LaFe^3+^_3_(AsO_4_)_2_(OH)_6_,La Fe As O H,https://www.mindat.org/search.php?search=Graulichite-(La)
Gravegliaite,Gravegliaite,Mn^2+^(S^4+^O_3_)·3H_2_O,Mn S O H,https://www.mindat.org/search.php?search=Gravegliaite
Grayite,Grayite,"(Th,Pb,Ca)(PO_4_)·H_2_O",Th Pb Ca P O H,https://www.mindat.org/search.php?search=Grayite
Grechishchevite,Grechishchevite,Hg_3_S_2_BrCl_0.5_I_0.5_,Hg S Br Cl I,https://www.mindat.org/search.php?search=Grechishchevite
Greenalite,Greenalite,"(Fe^2+^,Fe^3+^)_2-3_Si_2_O_5_(OH)_4_",Fe Si O H,https://www.mindat.org/search.php?search=Greenalite
Greenlizardite,Greenlizardite,(NH_4_)Na(UO_2_)_2_(SO_4_)_2_(OH)_2_·4H_2_O,N H Na U O S,https://www.mindat.org/search.php?search=Greenlizardite
Greenockite,Greenockite,CdS,Cd S,https://www.mindat.org/search.php?search=Greenockite
Greenwoodite,Greenwoodite,"Ba_2-x_(V^3+^OH)_x_V^3+^_9_(Fe^3+^,Fe^2+^)_2_Si_2_O_22_",Ba V O H Fe Si,https://www.mindat.org/search.php?search=Greenwoodite
Gregoryite,Gregoryite,Na_2_(CO_3_),Na C O,https://www.mindat.org/search.php?search=Gregoryite
Greifensteinite,Greifensteinite,Ca_2_Be_4_Fe^2+^_5_(PO_4_)_6_(OH)_4_·6H_2_O,Ca Be Fe P O H,https://www.mindat.org/search.php?search=Greifensteinite
Greigite,Greigite,Fe^2+^Fe^3+^_2_S_4_,Fe S,https://www.mindat.org/search.php?search=Greigite
Grenmarite,Grenmarite,Na_2_Zr_2_Na_2_MnZr(Si_2_O_7_)_2_O_2_F_2_,Na Zr Mn Si O F,https://www.mindat.org/search.php?search=Grenmarite
Grguricite,Grguricite,CaCr_2_(CO_3_)_2_(OH)_4_·4H_2_O,Ca Cr C O H,https://www.mindat.org/search.php?search=Grguricite
Griceite,Griceite,LiF,Li F,https://www.mindat.org/search.php?search=Griceite
Griffinite,Griffinite,Al_2_TiO_5_,Al Ti O,https://www.mindat.org/search.php?search=Griffinite
Grigorievite,Grigorievite,Cu_3_Fe^3+^_2_Al_2_(VO_4_)_6_,Cu Fe Al V O,https://www.mindat.org/search.php?search=Grigorievite
Grimaldiite,Grimaldiite,CrO(OH),Cr O H,https://www.mindat.org/search.php?search=Grimaldiite
Grimmite,Grimmite,NiCo_2_S_4_,Ni Co S,https://www.mindat.org/search.php?search=Grimmite
Grimselite,Grimselite,K_3_Na(UO_2_)(CO_3_)_3_·H_2_O,K Na U O C H,https://www.mindat.org/search.php?search=Grimselite
Griphite,Griphite,"Ca(Mn^2+^,Na,Li)_6_Fe^2+^Al_2_(PO_4_)_6_(F,OH)_2_",Ca Mn Na Li Fe Al P O F H,https://www.mindat.org/search.php?search=Griphite
Grischunite,Grischunite,NaCa_2_Mn^2+^_5_Fe^3+^(AsO_4_)_6_·2H_2_O,Na Ca Mn Fe As O H,https://www.mindat.org/search.php?search=Grischunite
Groatite,Groatite,[box]NaCaMn_2_(PO_4_)(HPO_4_)_2_,Na Ca Mn P O H,https://www.mindat.org/search.php?search=Groatite
Grokhovskyite,Grokhovskyite,CuCrS_2_,Cu Cr S,https://www.mindat.org/search.php?search=Grokhovskyite
Grootfonteinite,Grootfonteinite,Pb_3_O(CO_3_)_2_,Pb O C,https://www.mindat.org/search.php?search=Grootfonteinite
Grossite,Grossite,CaAl_4_O_7_,Ca Al O,https://www.mindat.org/search.php?search=Grossite
Grossmanite,Grossmanite,"Ca(Ti^3+^,Mg,Ti^4+^)AlSiO_6_",Ca Ti Mg Al Si O,https://www.mindat.org/search.php?search=Grossmanite
Grossular,Grossular,Ca_3_Al_2_(SiO_4_)_3_,Ca Al Si O,https://www.mindat.org/search.php?search=Grossular
Groutite,Groutite,Mn^3+^O(OH),Mn O H,https://www.mindat.org/search.php?search=Groutite
Grumantite,Grumantite,NaSi_2_O_4_(OH)·H_2_O,Na Si O H,https://www.mindat.org/search.php?search=Grumantite
Grumiplucite,Grumiplucite,HgBi_2_S_4_,Hg Bi S,https://www.mindat.org/search.php?search=Grumiplucite
Grundmannite,Grundmannite,CuBiSe_2_,Cu Bi Se,https://www.mindat.org/search.php?search=Grundmannite
Grunerite,Grunerite,[box]Fe^2+^_2_Fe^2+^_5_Si_8_O_22_(OH)_2_,Fe Si O H,https://www.mindat.org/search.php?search=Grunerite
Gruzdevite,Gruzdevite,Cu_6_Hg_3_Sb_4_S_12_,Cu Hg Sb S,https://www.mindat.org/search.php?search=Gruzdevite
Guanacoite,Guanacoite,Cu_2_Mg_3_(OH)_4_(AsO_4_)_2_·4H_2_O,Cu Mg O H As,https://www.mindat.org/search.php?search=Guanacoite
Guanajuatite,Guanajuatite,Bi_2_Se_3_,Bi Se,https://www.mindat.org/search.php?search=Guanajuatite
Guanine,Guanine,C_5_H_3_(NH_2_)N_4_O,C H N O,https://www.mindat.org/search.php?search=Guanine
Guarinoite,Guarinoite,Zn_6_(SO_4_)(OH)_10_·5H_2_O,Zn S O H,https://www.mindat.org/search.php?search=Guarinoite
Gudmundite,Gudmundite,FeSbS,Fe Sb S,https://www.mindat.org/search.php?search=Gudmundite
Guérinite,Guerinite,Ca_5_(AsO_3_OH)_2_(AsO_4_)_2_·9H_2_O,Ca As O H,https://www.mindat.org/search.php?search=Guerinite
Guettardite,Guettardite,Pb_8_(Sb_0.56_As_0.44_)_16_S_32_,Pb Sb As S,https://www.mindat.org/search.php?search=Guettardite
Gugiaite,Gugiaite,Ca_2_BeSi_2_O_7_,Ca Be Si O,https://www.mindat.org/search.php?search=Gugiaite
Guidottiite,Guidottiite,Mn_2_Fe^3+^(SiFe^3+^)O_5_(OH)_4_,Mn Fe Si O H,https://www.mindat.org/search.php?search=Guidottiite
Guildite,Guildite,CuFe^3+^(SO_4_)_2_(OH)·4H_2_O,Cu Fe S O H,https://www.mindat.org/search.php?search=Guildite
Guilleminite,Guilleminite,Ba(UO_2_)_3_(Se^4+^O_3_)_2_O_2_·3H_2_O,Ba U O Se H,https://www.mindat.org/search.php?search=Guilleminite
Guimarãesite,Guimaraesite,Ca_2_Be_4_Zn_5_(PO_4_)_6_(OH)_4_·6H_2_O,Ca Be Zn P O H,https://www.mindat.org/search.php?search=Guimaraesite
Guite,Guite,Co^2+^Co^3+^_2_O_4_,Co O,https://www.mindat.org/search.php?search=Guite
Gungerite,Gungerite,TlAs_5_Sb_4_S_13_,Tl As Sb S,https://www.mindat.org/search.php?search=Gungerite
Gunningite,Gunningite,Zn(SO_4_)·H_2_O,Zn S O H,https://www.mindat.org/search.php?search=Gunningite
Günterblassite,Gunterblassite,"(K,Ca,Ba,Na,[box])_3_Fe[(Si,Al)_13_O_25_(OH,O)_4_]·7H_2_O",K Ca Ba Na Fe Si Al O H,https://www.mindat.org/search.php?search=Gunterblassite
Gunterite,Gunterite,Na_4_Ca[V_10_O_28_]·20H_2_O,Na Ca V O H,https://www.mindat.org/search.php?search=Gunterite
Gupeiite,Gupeiite,Fe_3_Si,Fe Si,https://www.mindat.org/search.php?search=Gupeiite
Gurimite,Gurimite,Ba_3_(VO_4_)_2_,Ba V O,https://www.mindat.org/search.php?search=Gurimite
Gurzhiite,Gurzhiite,Al(UO_2_)(SO_4_)_2_F·10H_2_O,Al U O S F H,https://www.mindat.org/search.php?search=Gurzhiite
Gustavite,Gustavite,AgPbBi_3_S_6_,Ag Pb Bi S,https://www.mindat.org/search.php?search=Gustavite
Gutkovaite-Mn,Gutkovaite-Mn,"CaK_2_Mn(Ti,Nb)_4_(Si_4_O_12_)_2_(O,OH)_4_·5H_2_O",Ca K Mn Ti Nb Si O H,https://www.mindat.org/search.php?search=Gutkovaite-Mn
Guyanaite,Guyanaite,CrO(OH),Cr O H,https://www.mindat.org/search.php?search=Guyanaite
Gwihabaite,Gwihabaite,(NH_4_)(NO_3_),N H O,https://www.mindat.org/search.php?search=Gwihabaite
Gypsum,Gypsum,Ca(SO_4_)·2H_2_O,Ca S O H,https://www.mindat.org/search.php?search=Gypsum
Gyrolite,Gyrolite,NaCa_16_(Si_23_Al)O_60_(OH)_8_·14H_2_O,Na Ca Si Al O H,https://www.mindat.org/search.php?search=Gyrolite
Gysinite-(La),Gysinite-(La),PbLa(CO_3_)_2_(OH)·H_2_O,Pb La C O H,https://www.mindat.org/search.php?search=Gysinite-(La)
Gysinite-(Nd),Gysinite-(Nd),PbNd(CO_3_)_2_(OH)·H_2_O,Pb Nd C O H,https://www.mindat.org/search.php?search=Gysinite-(Nd)
Haapalaite,Haapalaite,"2[(Fe,Ni)S]·1.61[(Mg,Fe)(OH)_2_]",Fe Ni S Mg O H,https://www.mindat.org/search.php?search=Haapalaite
Hafnon,Hafnon,Hf(SiO_4_),Hf Si O,https://www.mindat.org/search.php?search=Hafnon
Hagendorfite,Hagendorfite,Na_2_MnFe^2+^Fe^3+^(PO_4_)_3_,Na Mn Fe P O,https://www.mindat.org/search.php?search=Hagendorfite
Haggertyite,Haggertyite,BaFe^2+^_4_Fe^3+^_2_Ti_5_MgO_19_,Ba Fe Ti Mg O,https://www.mindat.org/search.php?search=Haggertyite
Häggite,Haggite,V^3+^V^4+^O_2_(OH)_3_,V O H,https://www.mindat.org/search.php?search=Haggite
Hagstromite,Hagstromite,Pb_8_Cu^2+^(Te^6+^O_6_)_2_(CO_3_)Cl_4_,Pb Cu Te O C Cl,https://www.mindat.org/search.php?search=Hagstromite
Haidingerite,Haidingerite,Ca(AsO_3_OH)·H_2_O,Ca As O H,https://www.mindat.org/search.php?search=Haidingerite
Haigerachite,Haigerachite,KFe^3+^_3_(H_2_PO_4_)_6_(HPO_4_)_2_·4H_2_O,K Fe H P O,https://www.mindat.org/search.php?search=Haigerachite
Haineaultite,Haineaultite,"(Na,Ca)_5_Ca(Ti,Nb)_5_Si_12_O_34_(OH,F)_8_·5H_2_O",Na Ca Ti Nb Si O H F,https://www.mindat.org/search.php?search=Haineaultite
Hainite-(Y),Hainite-(Y),(Ca_3_Y)Na(NaCa)Ti(Si_2_O_7_)_2_(OF)F_2_,Ca Y Na Ti Si O F,https://www.mindat.org/search.php?search=Hainite-(Y)
Haitaite-(La),Haitaite-(La),LaU^4+^Fe^3+^_2_(Ti_13_Fe^2+^_4_Fe^3+^)O_38_,La U Fe Ti O,https://www.mindat.org/search.php?search=Haitaite-(La)
Haiweeite,Haiweeite,Ca(UO_2_)_2_(Si_5_O_12_)(OH)_2_·6H_2_O,Ca U O Si H,https://www.mindat.org/search.php?search=Haiweeite
Hakite-(Hg),Hakite-(Hg),Cu_6_(Cu_4_Hg_2_)Sb_4_Se_13_,Cu Hg Sb Se,https://www.mindat.org/search.php?search=Hakite-(Hg)
Halamishite,Halamishite,Ni_5_P_4_,Ni P,https://www.mindat.org/search.php?search=Halamishite
Håleniusite-(Ce),Haleniusite-(Ce),CeOF,Ce O F,https://www.mindat.org/search.php?search=Haleniusite-(Ce)
